,256GB 12GB RAM,Dimensions,Camera,_4,Phonebook,Model Image,Type_1,Build,Penta,_1,Battery (old),Model Name,Loudspeaker_1,Messaging,Card slot,Brand,Speed,EDGE,SAR,Quad,Sensors,Video_1,Charging,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Triple,4G bands,Features,Java,Features_1,Price,Display,Single_1,Type,256GB 8GB RAM,Games,Chipset,WLAN,Call records,3G bands,Size,Single,Protection,Bluetooth,Radio,USB,Dual,Status,Internal,Performance,OS,256GB 6GB RAM,Colors,Audio quality,Battery (new),5G bands,512GB 12GB RAM,GPRS,Weight,Infrared port,Resolution
CDMA 800 / 1900,,133.5 x 63.3 x 24.9 mm (5.26 x 2.49 x 0.98 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-mini20.jpg,Li-Po 6200 mAh,,,CDMA2000 1x,,Ulefone Armor Mini 20,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","1440p@30fps, 1080p@30fps",33W wired15W wireless5W reverse wireless,IP68/IP69K dust/water resistant (up to 2m for 30 min)Drop resistant up to 2mMIL-STD-810H compliant500 lumens dedicated flood flashlight,Mali-G57 MC2,"2024, September",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GALILEO, GLONASS, BDS, QZSS",GSM / CDMA / HSPA / CDMA2000 / LTE,Yes,Nano-SIM + Nano-SIM,UFS 2.2,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 66, 71","Dual-LED flash, HDR, panorama",,,,,,"IPS LCD, 90Hz",,,Mediatek Helio G99 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"4.7 inches, 53.3 cm2(~63.1% screen-to-body ratio)","32 MP, f/2.5, (wide), 1/2.8"", 0.8µm",Corning Gorilla Glass Victus,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG","50 MP, f/2.0, (wide), 1/1.31"", 1.2µm64 MP, f/1.8, (night vision), 2 infrared lights","Available. Released 2024, September",256GB 8GB RAM,,Android 14,,Black,,,,,,301 g (10.62 oz),Yes,"720 x 1600 pixels, 20:9 ratio (~373 ppi density)"
CDMA 800 / 1900,,133.5 x 63.3 x 24.9 mm (5.26 x 2.49 x 0.98 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-mini-20-pro.jpg,Li-Ion 6200 mAh,,,CDMA2000 1x,,Ulefone Armor Mini 20 Pro,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint, accelerometer, gyro, proximity, compass, barometer","1440p@30fps, 1080p@30fps",33W wired15W wireless5W reverse wireless,IP68/IP69K dust/water resistant (up to 2m for 30 min)Drop resistant up to 2mMIL-STD-810H compliant500 lumens dedicated flood flashlight,Mali-G57 MC2,"2024, September",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GALILEO, GLONASS, BDS, QZSS",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Yes,Nano-SIM + Nano-SIM,UFS 2.2,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 66, 71","Dual-LED flash, HDR, panorama",,,About 340 EUR,,,"IPS LCD, 90Hz",,,Mediatek Dimensity 6300 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"4.7 inches, 53.3 cm2(~63.1% screen-to-body ratio)","32 MP, f/2.5, (wide), 1/2.8"", 0.8µm",,"5.2, A2DP, LE",Wireless FM radio,"USB Type-C 2.0, OTG","50 MP, f/2.0, (wide), 1/1.31"", 1.2µmNight vision camera","Available. Released 2024, September",256GB 8GB RAM,,Android 14,,Black,,,"1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA/Sub6",,,301 g (10.62 oz),Yes,"720 x 1600 pixels, 20:9 ratio (~373 ppi density)"
CDMA 800 / 1900,,133.5 x 63.3 x 24.9 mm (5.26 x 2.49 x 0.98 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-mini-20t-pro.jpg,Li-Ion 6200 mAh,,,CDMA2000 1x,,Ulefone Armor Mini 20T Pro,-26.0 LUFS (Very good),,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint, accelerometer, gyro, proximity, compass, barometer","1440p@30fps, 1080p@30fps",33W wired15W wireless5W reverse wireless,IP68/IP69K dust/water resistant (up to 2m for 30 min)Drop resistant up to 2mMIL-STD-810H compliant500 lumens dedicated flood flashlight,Mali-G57 MC2,"2024, September 03",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GALILEO, GLONASS, BDS, QZSS",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Yes,Nano-SIM + Nano-SIM,UFS 2.2,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 66, 71","Dual-LED flash, HDR, panorama",,,€ 449.99 / $ 359.99 / £ 356.99,527 nits max brightness (measured),,"IPS LCD, 90Hz",€ 449.99,,Mediatek Dimensity 6300 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"4.7 inches, 53.3 cm2(~63.1% screen-to-body ratio)","32 MP, f/2.5, (wide), 1/2.8"", 0.8µm",,"5.2, A2DP, LE",Wireless FM radio,"USB Type-C 2.0, OTG","50 MP, f/2.0, (wide), 1/1.31"", 1.2µmThermal camera by Flir, 160x120 px, 8.7Hz, 12μm","Available. Released 2024, October",256GB 8GB RAM,AnTuTu: 432253 (v10)GeekBench: 2146 (v6)3DMark: 383 (Wild Life Extreme),Android 14,,Black,,Active use score 13:50h,"1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA/Sub6",,,301 g (10.62 oz),Yes,"720 x 1600 pixels, 20:9 ratio (~373 ppi density)"
IP68/IP69K dust/water resistant (up to 2m for 30 min)Drop resistant up to 2mMIL-STD-810H compliant,,182.8 x 86.8 x 18.5 mm (7.20 x 3.42 x 0.73 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-27-pro--.jpg,Li-Po 10600 mAh,,,UFS 2.2,,Ulefone Armor 27 Pro,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Yes,33W wired30W wirelessReverse wireless,,Mali-G57 MC2,"2024, August 01",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,"50 MP, f/2.0, (wide), 1/1.31"", 1.2µm, PDAF50 MP, f/2.2, 117˚ (ultrawide)64 MP, f/1.8, (night vision), 2 infrared lights","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","Dual-LED flash, HDR, panorama",,,About 280 EUR,,,"IPS LCD, 120Hz",,,Mediatek Dimensity 6300 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.78 inches, 109.2 cm2(~68.8% screen-to-body ratio)","32 MP, f/2.5, (wide), 0.8µm",Corning Gorilla Glass Victus,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2024, August 01",256GB 12GB RAM,,Android 14,,Black,,,"1, 2, 3, 5, 7, 8, 2, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA/Sub6",,,441 g (15.56 oz),Yes,1080 x 2460 pixels (~396 ppi density)
IP68/IP69K dust/water resistant (up to 2m for 30 min)Drop resistant up to 2mMIL-STD-810H compliant,€ 499.99,182.8 x 86.8 x 18.5 mm (7.20 x 3.42 x 0.73 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-27t-pro.jpg,Li-Po 10600 mAh,,,UFS 2.2,,Ulefone Armor 27T Pro,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Yes,33W wired30W wirelessReverse wireless,,Mali-G57 MC2,"2024, August 01",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,"50 MP, f/2.0, (wide), 1/1.31"", 1.2µm, PDAF64 MP, f/1.8, (night vision), 2 infrared lightsThermal camera by FLIR, 80x60 px, 9Hz, 17μm","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","Dual-LED flash, HDR, panorama",,,"€ 499.99 / $ 341.99 / £ 469.99 / ₹ 59,750",,,"IPS LCD, 120Hz",,,Mediatek Dimensity 6300 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.78 inches, 109.2 cm2(~68.8% screen-to-body ratio)","32 MP, f/2.5, (wide), 0.8µm",Corning Gorilla Glass Victus,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2024, August 01",256GB 12GB RAM,,Android 14,,Black,,,"1, 2, 3, 5, 7, 8, 2, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA/Sub6",,,441 g (15.56 oz),Yes,1080 x 2460 pixels (~396 ppi density)
IP68/IP69K dust/water resistant (up to 2m for 30 min)Drop resistant up to 2mMIL-STD-810H compliant,,177.4 x 81.4 x 12.5 mm (6.98 x 3.20 x 0.49 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-25t.jpg,Li-Po 6500 mAh,,,UFS 2.2,,Ulefone Armor 25T,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Yes,33W wired30W wirelessReverse wireless,,Mali-G57 MC2,"2024, July 11",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,"50 MP, f/2.0, (wide), 1/1.31"", 1.2µm, PDAF64 MP, f/1.8, (night vision), 2 infrared night vision lightsThermal camera by ThermoVue, 160x120 px, 25Hz, 12μm",1/2/3/4/5/7/8/12/13/17/18/19/20/25/26/28/34/38/39/40/41/66/71,"Dual-LED flash, HDR, panorama",,,About 460 EUR,,,"IPS LCD, 120Hz",,,Mediatek Helio G99 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.78 inches, 109.2 cm2(~75.6% screen-to-body ratio)","32 MP, f/2.5, (wide), 0.8µm",Corning Gorilla Glass Victus,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2024, July",256GB 6GB RAM,,Android 14,,Black,,,,,,326 g (11.50 oz),Yes,1080 x 2460 pixels (~396 ppi density)
UFS 2.2,,239.6 x 158.4 x 7.9 mm (9.43 x 6.24 x 0.31 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-tab-w10.jpg,Li-Po 8800 mAh,,,,,Ulefone Tab W10,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE",,,,"Accelerometer, proximity (accessories only)",Yes,18W wired,,Mali-G57 MP1,"2024, June",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,"Yes, with stereo speakers (4 speakers)",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 34, 38, 39, 40, 41","LED flash, HDR, panorama",,,About 80 EUR,,"8 MP, f/2.0, (wide), 1.12µm",IPS LCD,,,Unisoc T606 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"10.1 inches, 295.8 cm2(~77.9% screen-to-body ratio)","16 MP, f/2.2, (wide), 1.0µm",,"5.2, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2024, June",128GB 4GB RAM,,Android 14,,Space Gray,,,,,,430 g (15.17 oz),,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)"
UFS 2.2,,256.9 x 168.4 x 7.6 mm (10.11 x 6.63 x 0.30 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-tab-a11-pro.jpg,Li-Po 8800 mAh,,,,,Ulefone Tab A11 Pro,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE",,,,"Accelerometer, proximity (accessories only)",Yes,18W wired,,Mali-G57 MC2,"2024, June",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,"Yes, with stereo speakers (4 speakers)",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 34, 38, 39, 40, 41","LED flash, HDR, panorama",,,About 200 EUR,,8 MP,"IPS LCD, 90Hz",,,Mediatek Helio G99 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"11.0 inches, 350.9 cm2(~81.1% screen-to-body ratio)","16 MP, f/2.2, (wide), 1.0µm",,"5.2, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2024, June","128GB 8GB RAM, 256GB 8GB RAM",,Android 14,,Gray,,,,,,500.5 g (1.10 lb),,"1200 x 1920 pixels, 16:10 ratio (~206 ppi density)"
UFS 2.2,,256.9 x 168.4 x 7.6 mm (10.11 x 6.63 x 0.30 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-tab-a11.jpg,Li-Po 8800 mAh,,,,,Ulefone Tab A11,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE",,,,"Accelerometer, proximity (accessories only)",Yes,18W wired,,Mali-G57,"2024, June",Octa-core (2x2.2 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,"Yes, with stereo speakers (4 speakers)",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 34, 38, 39, 40, 41","LED flash, HDR, panorama",,,About 200 EUR,,"8 MP, f/2.0, (wide), 1.12µm","IPS LCD, 90Hz",,,Unisoc T620 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"11.0 inches, 350.9 cm2(~81.1% screen-to-body ratio)","16 MP, f/2.2, (wide), 1.0µm",,"5.0, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2024, June","128GB 4GB RAM, 256GB 8GB RAM",,Android 14,,Space Gray,,,,,,500.5 g (1.10 lb),,"1200 x 1920 pixels, 16:10 ratio (~206 ppi density)"
IP68/IP69K dust/water resistant (up to 2m for 30 min)Drop resistant up to 2mMIL-STD-810H compliant,,177.4 x 81.4 x 12.5 mm (6.98 x 3.20 x 0.49 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-25t-pro.jpg,Li-Po 6500 mAh,,,UFS 2.1,,Ulefone Armor 25T Pro,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Yes,33W wired30W wirelessReverse wireless,,Mali-G57 MC2,"2024, May",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,"50 MP, f/1.7, (wide), 1/1.31"", 1.2µm, PDAF64 MP, f/1.8, (night vision), 2 infrared night vision lightsThermal camera by ThermoVue, 160x120 px, 25Hz, 12μm","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","Dual-LED flash, HDR, panorama",,,€ 406.87 / $ 299.99 / £ 399.99,,,"IPS LCD, 120Hz",,,Mediatek Dimensity 6300 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.78 inches, 109.2 cm2(~75.6% screen-to-body ratio)","32 MP, f/2.5, (wide), 0.8µm",Corning Gorilla Glass Victus,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2024, May",256GB 6GB RAM,,Android 14,€ 406.87,Black,,,"1, 3, 5, 8, 20, 28, 38, 41, 71, 77, 78, 79 SA/NSA/Sub6",,,326 g (11.50 oz),Yes,1080 x 2460 pixels (~396 ppi density)
CDMA 800 / 1900,,168.8 x 76.8 x 8.9 mm (6.65 x 3.02 x 0.35 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-18-ultra.jpg,Li-Po 5450 mAh,,,UFS 2.2,,Ulefone Note 18 Ultra,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,18W wired,,Mali-G57 MC3,"2024, May",Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","LED flash, HDR, panorama",,HDR,€ 179.99 / $ 149.99 / £ 179.99,,,"IPS LCD, 90Hz",,,Mediatek Dimensity 720 (7 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.78 inches, 109.2 cm2(~84.2% screen-to-body ratio)","32 MP, f/2.5, (wide), 1/2.8"", 0.7µm",Corning Gorilla Glass,"5.2, A2DP, LE",Unspecified,USB Type-C 2.0,"50 MP, f/2.0, (wide), 1/1.31"", 0.7µm, PDAF50 MP, f/2.2, 117˚, (ultrawide), 1/2.8""","Available. Released 2024, May",256GB 6GB RAM,,Android 13,€ 179.99,"Lustrous Black, Moonlit White, Titanium Gray",,,"1, 3, 5, 8, 20, 28, 38, 41, 77, 78 SA/NSA/Sub6",,,211.6 g (7.48 oz),Yes,1080 x 2460 pixels (~396 ppi density)
CDMA 800 / 1900,,179 x 83 x 25.5 mm (7.05 x 3.27 x 1.00 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-26-ultra.jpg,Li-Po 15600 mAh,,,"IP68/IP69K dust/water resistant (up to 2m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)",,Ulefone Armor 26 Ultra,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE, 5G",,,"200 MP, f/1.8, (wide), 1/1.4"", 0.56µm, PDAF8 MP, (telephoto), 3.2x optical zoom50 MP, f/2.2, 117˚ (ultrawide)64 MP, f/1.8, (night vision), 2 infrared night vision lights","Fingerprint (side-mounted), accelerometer, proximity, compass, gyro, barometer",1080p@30fps,120W wired33W wireless (via docking station with pins)Reverse wired,UFS 3.1,Mali-G77 MC9,"2024, April",Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS",GSM / CDMA / HSPA / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","Quad-LED flash, HDR, panorama",,,€ 69.99 / $ 359.99 / £ 489.99,,,"IPS LCD, 120Hz",,,Mediatek Dimensity 8020 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.78 inches, 109.2 cm2(~73.5% screen-to-body ratio)","50 MP, f/2.3, (wide), 1.0µm",Corning Gorilla Glass 5,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 3.1, OTG",,"Available. Released 2024, April",512GB 12GB RAM,,Android 13,,Black,,,"1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA/Sub6",€ 69.99,,609 g (1.34 lb),Yes,1080 x 2460 pixels (~396 ppi density)
CDMA 800 / 1900,,179 x 83 x 25.5 mm (7.05 x 3.27 x 1.00 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-26-ultra-wt.jpg,Li-Po 15600 mAh,,,"IP68/IP69K dust/water resistant (up to 2m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)Digital-analog intercom: supports UHF and VHF dual bands",,Ulefone Armor 26 Ultra Walkie-talkie,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE, 5G",,,"200 MP, f/1.8, (wide), 1/1.4"", 0.56µm, PDAF8 MP, (telephoto), 3.2x optical zoom50 MP, f/2.2, 117˚ (ultrawide)64 MP, f/1.8, (night vision), 2 infrared night vision lights","Fingerprint (side-mounted), accelerometer, proximity, compass, gyro, barometer",1080p@30fps,120W wired33W wireless (via docking station with pins)Reverse wired,UFS 3.1,Mali-G77 MC9,"2024, April",Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS",GSM / CDMA / HSPA / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","Quad-LED flash, HDR, panorama",,,About 600 EUR,,,"IPS LCD, 120Hz",,,Mediatek Dimensity 8020 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.78 inches, 109.2 cm2(~73.5% screen-to-body ratio)","50 MP, f/2.3, (wide), 1.0µm",Corning Gorilla Glass 5,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 3.1, OTG",,"Available. Released 2024, April",512GB 12GB RAM,,Android 13,,Black,,,"1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA/Sub6",,,609 g (1.34 lb),Yes,1080 x 2460 pixels (~396 ppi density)
"IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)1100 lumens dedicated flood flashlight",,261.7 x 166.8 x 21.2 mm (10.30 x 6.57 x 0.83 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-pad-3-pro.jpg,Li-Po 33280 mAh,,,,,Ulefone Armor Pad 3 Pro,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Yes,66W wired5W reverse wired,,Mali-G72 MP3,"2024, April",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28, 34, 38, 39, 40, 41, 66","LED flash, HDR, panorama",,,About 370 EUR,,"32 MP, f/2.5, (wide), 1/2.8""",IPS LCD,,,Mediatek MT8788 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"10.36 inches, 305.5 cm2(~70.0% screen-to-body ratio)","50 MP, f/2.0, (wide), 1/1.3"", 1.2µm",Corning Gorilla Glass 5,"4.2, A2DP","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG, HDMI, magnetic connector",,"Available. Released 2024, April",256GB 8GB RAM,,Android 13,,Black,,,,,,1243 g (2.74 lb),,"1200 x 2000 pixels, 5:3 ratio (~225 ppi density)"
