,Single_1,Alert types,OS,128GB 12GB RAM,Stand-by_1,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,Display,128GB 8GB RAM,Browser,Talk time,Alarm,32GB 2GB RAM,Clock,_7,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Keyboard,Dual,Single,Talk time_1,2G bands,Resolution,512GB 8GB RAM,128GB 4GB RAM,Announced,Technology,_1,SAR,_6,_8,GPU,Battery (new),Model Image,Size,Model Name,1TB 12GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,256GB 4GB RAM,SAR EU,_2,_9,SIM,Triple,Infrared port,Battery (old),16GB 2GB RAM,Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,_10,Games,Quad,Weight,WLAN,Video,Languages,Speed,Build,NFC,_5,16GB 1.5GB RAM,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,Dual_1,3G bands,Video_1,_4,Sensors
Virtual proximity sensing,,,"Android 14, up to 4 major Android upgrades, One UI 6.1",,,Yes,-25.5 LUFS (Very good),Mediatek Helio G99 (6 nm),,"Available. Released 2023, December 16",,808 nits max brightness (measured),,,,,,,,,€ 202.90,,,,FM radio (market/region dependent),25W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,€ 159.90 / $ 119.99 / £ 114.00,,,,"13 MP, f/2.0, 26mm (wide), 1/3.06"", 1.12µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)",,€ 159.90,"2023, December 11",GSM / HSPA / LTE,,,,,Mali-G57 MC2,Active use score 15:28h,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a15-lte-.jpg,"6.5 inches, 103.7 cm2(~84.3% screen-to-body ratio)",Samsung Galaxy A15,,,,,"GPS, GALILEO, GLONASS, BDS, QZSS",$ 119.99,5000 mAh,,"LED flash, panorama, HDR",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,0.42 W/kg (head)     1.29 W/kg (body),,,Nano-SIMNano-SIM + Nano-SIM,"50 MP, f/1.8, 26mm (wide), 1/2.8"", 0.64µm, PDAF5 MP, f/2.2, 17mm (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)",,,,microSDXC (uses shared SIM slot),,,160.1 x 76.8 x 8.4 mm (6.30 x 3.02 x 0.33 in),,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",USB Type-C 2.0,"SM-A155F, SM-A155F/DSN, SM-A155M, SM-A155M/DS, SM-A155P, SM-A155R",,Yes,"5.3, A2DP, LE",,,,200 g (7.05 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30fps,,"HSPA, LTE","Glass front, plastic back, plastic frame",Yes (market/region dependent),,,Samsung,,,,"Brave Black, Optimistic Blue, Magical Blue, Personality Yellow","Super AMOLED, 90Hz, 800 nits (HBM)","AnTuTu: 316967 (v9), 375314 (v10)GeekBench: 1928 (v5), 1936 (v6)3DMark: 338 (Wild Life Extreme)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, compass"
,5 MP,,"Android 13, upgradable to Android 14, One UI 6.1",,,Yes,,Qualcomm SM6375 Snapdragon 695 5G (6 nm),,"Available. Released 2023, October 17",,,,,,,,,,,,,,,No,15W wired,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66",,,,,,,,"8 MP, AF",,GSM 850 / 900 / 1800 / 1900,"1200 x 1920 pixels, 16:10 ratio (~206 ppi density)",,,"2023, October 05",GSM / HSPA / LTE / 5G,,0.42 W/kg (body),,,Adreno 619,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a9-plus.jpg,"11.0 inches, 350.9 cm2(~80.9% screen-to-body ratio)",Samsung Galaxy Tab A9+,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","GPS, GLONASS, GALILEO, BDS, QZSS - cellular model only",,Li-Po 7040 mAh,,,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.8 GHz Kryo 660 Silver),,1.19 W/kg (body),,,Nano-SIM +eSIM(cellular model only),,,,,microSDXC (dedicated slot),,,257.1 x 168.7 x 6.9 mm (10.12 x 6.64 x 0.27 in),,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",USB Type-C 2.0,"SM-X210, SM-X215, SM-X216B",,"Yes, with stereo speakers (4 speakers)","5.1, A2DP, LE",,,,480 g or 492 g (1.06 lb),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30fps,,"HSPA, LTE, 5G - cellular model only",,No,,,Samsung,,,,"Graphite, Silver, Navy","TFT LCD, 90Hz",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Accelerometer, gyro, proximity (accessories only), compass"
,2 MP,,"Android 13, upgradable to Android 14, One UI 6.1",,,Yes,,Mediatek Helio G99 (6 nm),,"Available. Released 2023, October 05",,,,,,,,,,,,,,,No,15W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41, 66",,,,About 180 EUR,,,,"8 MP, AF",,GSM 850 / 900 / 1800 / 1900,"800 x 1340 pixels, 5:3 ratio (~179 ppi density)",,,"2023, October 05",GSM / HSPA / LTE,,0.48 W/kg (head)     0.89 W/kg (body),,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a9.jpg,"8.7 inches, 214.9 cm2(~81.7% screen-to-body ratio)",Samsung Galaxy Tab A9,,,,,"GPS, GLONASS, BDS, GALILEO, QZSS - cellular model only",,Li-Po 5100 mAh,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,0.51 W/kg (body),,,Nano-SIM +eSIM(cellular model only),,,,,microSDXC (dedicated slot),,,211 x 124.7 x 8 mm (8.31 x 4.91 x 0.31 in),,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM",USB Type-C 2.0,"SM-X110, SM-X115",,"Yes, with stereo speakers","5.3, A2DP, LE",,,,332 g or 333 g (11.71 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30fps,,"HSPA, LTE - cellular model only",,No,,,Samsung,,,,"Graphite, Silver, Navy",TFT LCD,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Yes,,"Accelerometer, proximity, compass"
IP68 dust/water resistant (up to 1.5m for 30 min),,,"Android 13, up to 4 major Android upgrades, One UI 6.1",,,No,-23.7 LUFS (Very good),Exynos 2200 (4 nm) - InternationalQualcomm SM8450 Snapdragon 8 Gen 1 (4 nm) - USA,,"Available. Released 2023, October 05",,985 nits max brightness (measured),€ 449.99,,,,,,,,€ 519.98,,,,Unspecified,"25W wired, PD3.0, 50% in 30 min15W wirelessReverse wireless","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66 - International",Photo/Video,,,"€ 449.99 / $ 299.99 / £ 319.00 / ₹ 35,999",,,,"10 MP, f/2.4, 25mm (wide), 1/3.0"", 1.22µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",,,"2023, October 04",GSM / HSPA / LTE / 5G,Virtual proximity sensingSamsung DeXCircle to Search,0.80 W/kg (head)     0.72 W/kg (body),,,Xclipse 920 - InternationalAdreno 730 - USA,Active use score 8:28h,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s23-fe.jpg,"6.4 inches, 100.5 cm2(~83.2% screen-to-body ratio)",Samsung Galaxy S23 FE,,,,"1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6 - International","GPS, GLONASS, GALILEO, BDS",,Li-Ion 4500 mAh,,"LED flash, HDR, panorama",Octa-core (1x2.8 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510) - InternationalOcta-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510) - USA,,0.76 W/kg (head)     1.04 W/kg (body),,,Nano-SIMNano-SIM + Nano-SIMNano-SIM + Nano-SIM +eSIM(max 2 at a time),"50 MP, f/1.8, 23mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS8 MP, f/2.4, 76mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm",,,,No,Corning Gorilla Glass 5,,158 x 76.5 x 8.2 mm (6.22 x 3.01 x 0.32 in),,"128GB 8GB RAM, 256GB 8GB RAM","USB Type-C, OTG","SM-S711B, SM-S711B/DS, SM-S711U1, SM-S711U, SM-S711W, SM-S7110, SM-S711N",,"Yes, with stereo speakers","5.3, A2DP, LE",,,,209 g (7.37 oz),"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@960fps",,"HSPA, LTE (CA), 5G","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Yes,,,Samsung,,,,"Mint, Cream, Graphite, Purple, Indigo, Tangerine","Dynamic AMOLED 2X, 120Hz, HDR10+, 1450 nits (peak)",AnTuTu: 940921 (v9) | 1129280 (v10)GeekBench: 3550 (v5.1) | 3946 (v6)GFXBench: 79fps (ES 3.1 onscreen),,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30/60fps, 1080p@30/60fps; gyro-EIS",,"Fingerprint (under display, optical), accelerometer, gyro, compass"
StylusIP68 dust/water resistant (up to 1.5m for 30 min),,,"Android 13, up to 4 major Android upgrades, One UI 6",,,No,,Exynos 1380 (5 nm),,"Available. Released 2023, October 16",,,,,,,,,,,,,,,No,"45W wired, QC2.0","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 32, 38, 40, 41, 66",,,,€ 948.18,,,"8 MP, (wide)8 MP, (ultrawide)","12 MP, (ultrawide)",,GSM 850 / 900 / 1800 / 1900,"1600 x 2560 pixels, 16:10 ratio (~243 ppi density)",,,"2023, October 04",GSM / HSPA / LTE / 5G,Tuned by AKG,0.77 W/kg (body),,,Mali-G68 MP5,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s9-fe-plus-10-.jpg,"12.4 inches, 445.8 cm2(~84.3% screen-to-body ratio)",Samsung Galaxy Tab S9 FE+,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","GPS, GALILEO, GLONASS, BDS, QZSS - cellular model only",,Li-Po 10090 mAh,,,Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,0.50 W/kg (body),Circle to Search,,Nano-SIM +eSIM(cellular model only),,,,,microSDXC (dedicated slot),,,285.4 x 185.4 x 6.5 mm (11.24 x 7.30 x 0.26 in),,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","USB Type-C 2.0, magnetic connector","SM-X610, SM-X616B",,"Yes, with stereo speakers","5.3, A2DP, LE",,,,627 g or 628 g (1.38 lb),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30fps",,"HSPA, LTE (CA), 5G - cellular model only","Glass front, aluminum back, aluminum frame",No,,,Samsung,,€ 948.18,,"Mint, Silver, Gray, Lavender","IPS LCD, 90Hz",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Yes,,"Fingerprint (side-mounted), accelerometer, gyro, compass, proximity (accessories only)"
StylusIP68 dust/water resistant (up to 1.5m for 30 min),"12 MP, (ultrawide)",,"Android 13, up to 4 major Android upgrades, One UI 6",,,No,,Exynos 1380 (5 nm),,"Available. Released 2023, October 16",,,,,,,,,,,,,,,No,"45W wired, QC2.0","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 32, 38, 40, 41, 66",,,,$ 315.00,,,,"8 MP, (wide)",,GSM 850 / 900 / 1800 / 1900,"1440 x 2304 pixels, 16:10 ratio (~249 ppi density)",,,"2023, October 04",GSM / HSPA / LTE / 5G,Tuned by AKG,1.55 W/kg (body),,,Mali-G68 MP5,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s9-fe-10-.jpg,"10.9 inches, 344.5 cm2(~81.7% screen-to-body ratio)",Samsung Galaxy Tab S9 FE,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","GPS, GALILEO, GLONASS, BDS, QZSS - cellular model only",$ 315.00,Li-Po 8000 mAh,,,Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,0.59 W/kg (body),Circle to Search,,Nano-SIM +eSIM(cellular model only),,,,,microSDXC (dedicated slot),,,254.3 x 165.8 x 6.5 mm (10.01 x 6.53 x 0.26 in),,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 2.0, magnetic connector","SM-X510, SM-X516B",,"Yes, with stereo speakers","5.3, A2DP, LE",,,,523 g or 524 g (1.15 lb),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30fps",,"HSPA, LTE (CA), 5G - cellular model only","Glass front, aluminum back, aluminum frame",No,,,Samsung,,,,"Mint, Silver, Gray, Lavender","IPS LCD, 90Hz",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Yes,,"Fingerprint (side-mounted), accelerometer, gyro, compass, proximity (accessories only)"
eMMC 5.1,,,Android 13,,,Yes,-30.0 LUFS (Average),Qualcomm SM6225 Snapdragon 680 4G (6 nm),,"Available. Released 2023, October 18",,"1418:1 contrast ratio, 468 nits max brightness (measured)",,,,,,,,,,,,,Unspecified,25W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",Photo/Video,,€ 119.90,"€ 119.90 / $ 94.99 / £ 88.30 / ₹ 8,990",,,,"13 MP, f/2.0, (wide), 1/3.X"", 1.12µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,€ 134.84,"2023, September 25",GSM / HSPA / LTE,,,,,Adreno 610,Active use score 11:32h,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a05s.jpg,"6.7 inches, 108.4 cm2(~82.9% screen-to-body ratio)",Samsung Galaxy A05s,,,,,"GPS, GLONASS, GALILEO, BDS, QZSS",£ 144.44,Li-Po 5000 mAh,,LED flash,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),,0.58 W/kg (head)     1.31 W/kg (body),,,Nano-SIMNano-SIM + Nano-SIM,"50 MP, f/1.8, (wide), 1/2.8"", 0.64µm, AF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,,microSDXC (dedicated slot),,,168 x 77.8 x 8.8 mm (6.61 x 3.06 x 0.35 in),,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",USB Type-C 2.0,"SM-A057F, SM-A057F/DS, SM-A057M, SM-A057M/DS, SM-A057G/DSN",,Yes,"5.1, A2DP, LE",,,,194 g (6.84 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30/60fps,,"HSPA, LTE","Glass front, plastic back, plastic frame",Yes (market/region dependent),,,Samsung,,,,"Black, Silver, Light Green, Violet","PLS LCD, 90Hz","AnTuTu: 264654 (v9), 316956 (v10)GeekBench: 1457 (v5), 1449 (v6)GFXBench: 7fps (ES 3.1 onscreen)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity"
eMMC 5.1,,,Android 13,,,Yes,,Mediatek Helio G85 (12 nm),,"Available. Released 2023, October 15",,,,,,,,,,,,,,,Unspecified,25W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,£ 77.00,"$ 85.00 / £ 77.00 / ₹ 7,299",,,"50 MP, f/1.8, (wide),  1/2.8"", 0.64µm, AF2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",,GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)",,$ 98.47,"2023, September 25",GSM / HSPA / LTE,,,,,Mali-G52 MC2,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a05.jpg,"6.7 inches, 108.4 cm2(~82.1% screen-to-body ratio)",Samsung Galaxy A05,,,,,"GPS, GLONASS, GALILEO, BDS",£ 85.90,Li-Po 5000 mAh,,LED flash,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,0.41 W/kg (head)     1.19 W/kg (body),,,Nano-SIMNano-SIM + Nano-SIM,,,,,microSDXC,,,168.8 x 78.2 x 8.8 mm (6.65 x 3.08 x 0.35 in),,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",USB Type-C 2.0,"SM-A055F, SM-A055F/DS, SM-A055M, SM-A055M/DS",,Yes,"5.3, A2DP, LE",,,,195 g (6.88 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30/60fps,,"HSPA, LTE","Glass front, plastic back, plastic frame",No,,,Samsung,,,,"Black, Silver, Light Green",PLS LCD,,,HSDPA 850 / 900 / 2100,Yes,,"Accelerometer, proximity"
UFS 2.2,,,"Android 13, One UI 5.1",,,Yes,,Exynos 1280 (5 nm),,"Available. Released 2023, August 12",,,,,,,,,,,,,,,Unspecified,25W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",,,,About 210 EUR,,,,"13 MP, f/2.2, (wide)",,GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)",,,"2023, August 07",GSM / HSPA / LTE / 5G,Virtual proximity sensing,0.89 W/kg (head),,,Mali-G68,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f34.jpg,"6.5 inches, 103.7 cm2(~83.1% screen-to-body ratio)",Samsung Galaxy F34,,,,"1, 3, 5, 7, 8, 28, 38, 40, 41, 78 SA/NSA/Sub6","GPS, GLONASS, GALILEO, BDS, QZSS",,Li-Po 6000 mAh,,"LED flash, panorama, HDR",Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),,,,,Nano-SIM + Nano-SIM,"50 MP, f/1.8, (wide), PDAF, OIS8 MP, f/2.2, 120˚ (ultrawide)2 MP, f/2.4",,,,microSDXC (uses shared SIM slot),Corning Gorilla Glass 5,,161.7 x 77.2 x 8.8 mm (6.37 x 3.04 x 0.35 in),,"128GB 6GB RAM, 128GB 8GB RAM","USB Type-C 2.0, OTG","SM-E346B, SM-E346B/DS",,Yes,"5.3, A2DP, LE",,,,208 g (7.34 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30fps",,"HSPA, LTE, 5G",,Yes,,,Samsung,,,,"Electric Black, Mystic Green","Super AMOLED, 120Hz, 1000 nits (peak)",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, compass"
CDMA 800 / 1900,,,"Android 13, up to 4 major Android upgrades, One UI 6.1.1",,,No,-25.9 LUFS (Very good),Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),,"Available. Released 2023, August 11",HDR,1257 nits max brightness (measured),,,,,,,"Cover display:Dynamic AMOLED 2X, 120Hz, Corning Gorilla Glass Victus 26.2 inches, 904 x 2316 pixels, 23.1:9 ratio",,,,,,No,"25W wired, 50% in 30 min15W wireless4.5W reverse wireless","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 66 - International",Photo/Video,,,"€ 799.00 / $ 1,290.00 / £ 408.00","1, 2, 3, 4, 5, 7, 8, 12, 13, 18, 19, 20, 25, 29, 30, 38, 39, 40, 41, 46, 66, 71 - Canada",,,"4 MP, f/1.8, 26mm (wide), 1/3.0"", 2.0µm, under displayCover camera:10 MP, f/2.2, 24mm (wide), 1/3.0"", 1.22µm",,GSM 850 / 900 / 1800 / 1900,1812 x 2176 pixels (~373 ppi density),,,"2023, July 26",GSM / CDMA / HSPA / EVDO / LTE / 5G,CDMA2000 1xEV-DO,1.16 W/kg (head),IPX8 water resistant (up to 1.5m for 30 min)Armor aluminum frameStylus support,UFS 4.0,Adreno 740,Active use score 12:01h,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-fold5-5g.jpg,"7.6 inches, 183.2 cm2(~91.1% screen-to-body ratio)",Samsung Galaxy Z Fold5,"€ 1,549.99",,,"1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6 - International","GPS, GLONASS, GALILEO, BDS",,Li-Po 4400 mAh,,"LED flash, HDR, panorama",Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),,1.24 W/kg (head)     1.19 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 13, 18, 19, 20, 26, 28, 38, 39, 40, 41, 48, 66, 71 - USA",32-bit/384kHz audioTuned by AKG,Nano-SIM +eSIMNano-SIM + Nano-SIM + eSIM (max 2 at a time),"50 MP, f/1.8, 23mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS10 MP, f/2.4, 66mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom12 MP, f/2.2, 12mm, 123˚ (ultrawide), 1/3.06"", 1.12µm",,Endurance rating 95h,,No,,,Unfolded: 154.9 x 129.9 x 6.1 mmFolded: 154.9 x 67.1 x 13.4 mm,,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","USB Type-C 3.2, OTG","SM-F946B, SM-F946B/DS, SM-F946U, SM-F946U1, SM-F946N, SM-F946W, SM-F9460",€ 921.88,"Yes, with stereo speakers","5.3, A2DP, LE, aptX HD",Samsung DeX (desktop experience support)Ultra Wideband (UWB) support,,,253 g (8.92 oz),"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","8K@30fps, 4K@60fps, 1080p@60/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10+",,"HSPA, LTE (CA), 5G","Glass front (Gorilla Glass Victus 2) (folded), plastic front (unfolded), glass back (Gorilla Glass Victus 2), aluminum frame",Yes,"2, 5, 38, 41, 66, 71, 78 SA/NSA/Sub6 - Canada",,Samsung,,€ 799.00,,"Icy Blue, Phantom Black, Cream, Gray, Blue","Foldable Dynamic AMOLED 2X, 120Hz, HDR10+","AnTuTu: 1250358 (v9), 1519358 (v10)GeekBench: 4824 (v5.5), 5396 (v6.0)GFXBench: 65fps (ES 3.1 onscreen)",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30/60fps, 1080p@30/60fps, gyro-EIS","2, 5, 48, 66, 77, 78, 257, 260, 261 SA/NSA/Sub6/mmWave - USA (Verizon)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer"
CDMA 800 / 1900,,,"Android 13, upgradable to Android 14, One UI 6.1.1",,,No,-27.1 LUFS (Good),Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),,"Available. Released 2023, August 11",HDR,1101 nits max brightness (measured),,,,,,,IPX8 water resistant (up to 1.5m for 30 min)Armor aluminum frame,,€ 460.58,,,,No,"25W wired, 50% in 30 min15W wireless4.5W reverse wireless","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 66 - International",Photo/Video,,,"€ 460.58 / $ 439.99 / £ 370.00 / ₹ 52,999","1, 2, 3, 4, 5, 7, 8, 12, 13, 18, 19, 20, 26, 28, 38, 39, 40, 41, 48, 66, 71 - USA",,"12 MP, f/1.8, 24mm (wide), 1/1.76"", 1.8µm, dual pixel PDAF, OIS12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.06"", 1.12µm","10 MP, f/2.2, 23mm (wide), 1/3.0"", 1.22µm",,GSM 850 / 900 / 1800 / 1900,1080 x 2640 pixels (~425 ppi density),€ 488.25,,"2023, July 26",GSM / CDMA / HSPA / EVDO / LTE / 5G,HSDPA 850 / 900 / 1900 / 2100,1.17 W/kg (head),"2, 5, 38, 41, 66, 71, 78 SA/NSA/Sub6 - Canada","Cover display:Super AMOLED, 60Hz, 3.4 inches, 720 x 748 pixels (Gorilla Glass Victus 2), 306 ppi",Adreno 740,Active use score 9:29h,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-flip5-5g.jpg,"6.7 inches, 102.0 cm2(~85.9% screen-to-body ratio)",Samsung Galaxy Z Flip5,,,,"1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6 - International","GPS, GLONASS, GALILEO, BDS",,Li-Po 3700 mAh,,"LED flash, HDR, panorama",Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),,0.60 W/kg (head)     1.45 W/kg (body),CDMA2000 1xEV-DO,UFS 4.0,Nano-SIM +eSIM,,,Endurance rating 87h,,No,,,Unfolded: 165.1 x 71.9 x 6.9 mmFolded: 85.1 x 71.9 x 15.1 mm,,"256GB 8GB RAM, 512GB 8GB RAM","USB Type-C 3.2, OTG","SM-F731B, SM-F731B/DS, SM-F731U, SM-F731U1, SM-F731W, SM-F731N",,"Yes, with stereo speakers","5.3, A2DP, LE",32-bit/384kHz audio,,,187 g (6.60 oz),"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","4K@30/60fps, 1080p@60/240fps, 720p@960fps, HDR10+",,"HSPA, LTE (CA), 5G","Plastic front (unfolded), glass back (Gorilla Glass Victus 2), aluminum frame",Yes,"2, 5, 48, 66, 77, 78, 257, 260, 261 SA/NSA/Sub6/mmWave - USA (Verizon)",,Samsung,,,,"Mint, Graphite, Cream, Lavender, Gray, Blue, Green, Yellow","Foldable Dynamic AMOLED 2X, 120Hz, HDR10+, 1750 nits (peak)","AnTuTu: 1200783 (v9), 1507319 (v10)GeekBench: 5478 (v5.5), 4984 (v6.0)GFXBench: 91fps (ES 3.1 onscreen)",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,4K@30fps,"1, 2, 3, 4, 5, 7, 8, 12, 13, 18, 19, 20, 25, 29, 30, 38, 39, 40, 41, 46, 66, 71 - Canada","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer"
