,Price,USB,SAR EU,EDGE,SIM,Technology,Weight,GPRS,Radio,Chipset,Battery (old),Type_1,Speed,Charging,Display,Alert types,_3,Sensors,Build,Quad,Java,Single_1,CPU,GPU,Video_1,Call records,Languages,Announced,Stand-by_1,NFC,Loudspeaker,Features_1,Music play,Bluetooth,Colors,Dual,Talk time,Resolution,2G bands,Camera,4G bands,_2,Video,Messaging,Infrared port,_4,Brand,Talk time_1,Status,Type,Browser,_5,3.5mm jack,Loudspeaker_1,Phonebook,_1,Alarm,WLAN,Stand-by,Clock,Card slot,Model Name,Triple,Size,Games,Dimensions,Positioning,Model Image,SAR,Audio quality,Single,Models,OS,Protection,Internal,Keyboard,Features,3G bands
HSDPA 850 / 1700(AWS) / 1900 / 2100 - USA,About 200 EUR,"microUSB 2.0, OTG",,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",GSM / HSPA / LTE,110 g (3.88 oz),,"FM radio, RDS",Qualcomm MSM8916 Snapdragon 410 (28 nm),,"Li-Ion 2000 mAh, non-removable","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,eMMC 4.5,"Accelerometer, proximity, compass",,,,5 MP,Quad-core 1.2 GHz Cortex-A53,Adreno 306,1080p@30fps,,,"2015, March. Released 2015, June",,Yes,"Yes, with stereo speakers",,,"4.0, A2DP","Black, Sliver, Gold",,,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"1, 3, 7, 8, 20 - EMEA","1, 2, 4, 7, 28",1080p@30fps,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,"2, 4, 5, 7, 12, 17 - USA",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,microSDXC (dedicated slot) - single-SIM model,alcatel Idol 3 (4.7),,"4.7 inches, 60.9 cm2(~68.7% screen-to-body ratio)",,134.6 x 65.9 x 7.6 mm (5.30 x 2.59 x 0.30 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-idol-3-47-new.jpg,,,"13 MP, f/2.0, 1/3.1"", 1.12µm, AF","6039Y, 6039H, 6039K, 6039A","Android 5.0.2 (Lollipop), upgradable to 6.0.1 (Marshmallow)",,"8GB 1.5GB RAM, 16GB 1.5GB RAM (DS)",,"LED flash, panorama, HDR",HSDPA 850 / 900 / 1900 / 2100 - EMEA
No,,microUSB 2.0,,Yes,Dual SIM,GSM / HSPA,-,Yes,"FM radio, RDS",,,"Li-Ion 1300 mAh, removable",HSPA 21.1/5.76 Mbps,,,,,Accelerometer,,,,,Dual-core 1.0 GHz,,,,,"2015, March. Released 2015, May",,No,Yes,,,2.1,Black,,Up to 7 h (2G) / Up to 6 h 10 min (3G),"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (optional),,,,Yes,,,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,,MP3/AAC+/WAV playerMP4/H.264 playerPhoto viewer,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 380 h (2G) / Up to 286 h (3G),,microSDHC (dedicated slot),alcatel Orange Klif,,"3.5 inches, 36.5 cm2(~52.4% screen-to-body ratio)",,112.2 x 62 x 11.9 mm (4.42 x 2.44 x 0.47 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-klif.jpg,,,2 MP,,Firefox 2.0,,512MB 256MB RAM,,LED flash,HSDPA
"1, 2, 4, 7, 28 - LATAM",About 120 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA / LTE,-,,FM radio,,,"Li-Ion 2800 mAh, non-removable","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Accelerometer, proximity, compass",,,,2 MP / 5 MP,Quad-core,,,,,"2015, March. Released 2015, October",,No,Yes,,,"4.0, A2DP","Volcano Black, White, Amber Orange, Tango Red, Neon Pink, Laser Yellow, Vivid Green, Sharp Blue, Metallic Silver",,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20 - EMEA",,Yes,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,microSDXC (dedicated slot),alcatel Pixi 3 (5.5) LTE,,"5.5 inches, 83.4 cm2",,-,GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pixi3-55.jpg,,,"5 MP or 8 MP, AF",,Android 5.0 (Lollipop),,8GB 1GB RAM,,LED flash,HSDPA 850 / 900 / 1900 / 2100
HSDPA 900 / 2100,,microUSB 2.0,,,Micro-SIM,GSM / HSPA,-,,"FM radio, RDS",Mediatek MT6580 (28 nm),,"Li-Ion 2910 mAh, non-removable",HSPA 21.1/5.76 Mbps,,,,,Accelerometer,,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,,"2015, March. Released 2015, October",,No,Yes,,,"4.0, A2DP","Volcano Black, White, Amber Orange, Tango Red, Neon Pink, Laser Yellow, Vivid Green, Sharp Blue, Metallic Silver",,,"540 x 960 pixels, 16:9 ratio (~200 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,Yes,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,microSDHC (dedicated slot),alcatel Pixi 3 (5.5),,"5.5 inches, 83.4 cm2",,-,GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pixi3-55.jpg,,,"8 MP, AF",,Android 5.0 (Lollipop),,8GB 1GB RAM,,LED flash,HSDPA 850 / 900 / 1900 / 2100
,About 100 EUR,"microUSB 2.0, OTG",,Yes,Micro-SIM,GSM / HSPA,335 g (11.82 oz),Yes,No,Mediatek MT8312 (28 nm),,"Li-Ion 3240 mAh, non-removable",HSPA,,,,,Accelerometer,,,,VGA,Dual-core 1.3 GHz Cortex-A7,Mali-400,,,,"2015, March. Released 2014, August",,No,Yes,,,"4.0, A2DP","Yellow, Blue, Red, Black, White",,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,Yes,,Yes,,alcatel,,Discontinued,TFT,,,Yes,,,,,Wi-Fi 802.11 b/g/n,,,microSDHC (dedicated slot),alcatel Pixi 3 (8) 3G,,"8.0 inches, 185.6 cm2(~71.6% screen-to-body ratio)",,209 x 124 x 9.2 mm (8.23 x 4.88 x 0.36 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pixi-3-8-3g.jpg,,,2 MP,,Android 4.4.2 (KitKat),,4GB 1GB RAM,,,HSDPA
eMMC 4.5,About 130 EUR,"microUSB 2.0, OTG",,Yes,Micro-SIM,GSM / HSPA / LTE,260 g (9.17 oz),Yes,No,Qualcomm MSM8909 Snapdragon 210 (28 nm),,"Li-Ion 2820 mAh, non-removable","HSPA, LTE",,,,,Accelerometer,,,,VGA,Quad-core 1.1 GHz Cortex-A7,Adreno 304,,,,"2015, March. Released 2015, August",,No,Yes,,,"4.1, A2DP, LE","Yellow, Blue, Red, Pink",,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",GSM 850 / 900 / 1800 / 1900,,LTE,,Yes,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,Wi-Fi 802.11 b/g/n,,,microSDHC (dedicated slot),alcatel Pixi 3 (7) LTE,,"7.0 inches, 137.9 cm2(~66.2% screen-to-body ratio)",,191 x 109 x 9.2 mm (7.52 x 4.29 x 0.36 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pixi3-70.jpg,,,2 MP,,Android 5.0 (Lollipop),,4GB 1GB RAM,,,HSDPA
,About 100 EUR,"microUSB 2.0, OTG",,Yes,Micro-SIM,GSM / HSPA,260 g (9.17 oz),Yes,No,Mediatek MT8312 (28 nm),,"Li-Ion 2820 mAh, non-removable",HSPA,,,,,Accelerometer,,,,VGA,Dual-core 1.3 GHz Cortex-A7,Mali-400,,,,"2015, March. Released 2015, May",,No,Yes,,,"4.0, A2DP","Yellow, Blue, Red, Pink",,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,Yes,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,Wi-Fi 802.11 b/g/n,,,microSDHC (dedicated slot),alcatel Pixi 3 (7) 3G,,"7.0 inches, 137.9 cm2(~65.7% screen-to-body ratio)",,189 x 111 x 9.1 mm (7.44 x 4.37 x 0.36 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pixi3-70.jpg,,,2 MP,9002X,Android 4.4.2 (KitKat),,4GB 512MB RAM,,,HSDPA
,About 80 EUR,microUSB 2.0,,No,No,No cellular connectivity,260 g (9.17 oz),No,No,Mediatek MT8127 (28 nm),,"Li-Ion 2820 mAh, non-removable",,,,,,Accelerometer,,,,VGA,Quad-core 1.3 GHz Cortex-A7,Mali-450MP4,,,,"2015, March. Released 2015, June",,No,Yes,,,"4.0, A2DP","Yellow, Blue, Red, Pink",,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",N/A,,,,Yes,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,Wi-Fi 802.11 b/g/n,,,microSDHC (dedicated slot),alcatel Pixi 3 (7),,"7.0 inches, 137.9 cm2(~65.7% screen-to-body ratio)",,189 x 111 x 9.1 mm (7.44 x 4.37 x 0.36 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pixi3-70.jpg,,,2 MP,,Android 4.4.2 (KitKat),,4GB 512MB RAM,,,
"HSDPA 850 / 900 / 1900 / 2100 - LATAM, US",About 250 EUR,"microUSB 2.0, OTG",,,Micro-SIM,GSM / HSPA / LTE,380 g (13.40 oz),,FM radio,Qualcomm MSM8916 Snapdragon 410 (28 nm),,"Li-Ion 4600 mAh, non-removable","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,Optional mobile dock with standard QWERTY keyboard and trackpad,"Accelerometer, proximity",,,,2 MP,Quad-core 1.2 GHz Cortex-A53,Adreno 306,,,,"2015, January. Released 2015, April",,No,Yes,,,"4.1, A2DP, LE","White, Dark grey",,,"800 x 1280 pixels, 16:10 ratio (~157 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20 - EMEA","1, 2, 4, 5, 7, 12, 17 - US",1080p@30fps,,Yes,eMMC 4.5,alcatel,,Discontinued,IPS LCD,,,Yes,,,"1, 2, 4, 5, 7, 28 - LATAM",,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",,,microSDHC (dedicated slot),alcatel Pop 10,,"9.6 inches, 267.2 cm2(~74.4% screen-to-body ratio)",,245.2 x 146.4 x 7.9 mm (9.65 x 5.76 x 0.31 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-10.jpg,,,5 MP,,Android 5.0.1 (Lollipop),,8GB 1GB RAM,,,HSDPA 850 / 900 / 2100 - EMEA
HSDPA 850 / 900 / 1900 / 2100 - LATAM,About 80 EUR,microUSB 2.0,,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",GSM / HSPA / LTE,-,,FM radio,Mediatek MT6570 (28 nm) (3G model)Qualcomm MSM8909 (4G model),,"Li-Ion 1800 mAh, removable (3G model)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,Accelerometer,,,,2 MP / VGA,Dual-core 1.3 GHz Cortex-A7 (3G model)Quad-core 1.1 GHz (4G model),Mali-400,,,,"2015, January. Released 2015, August",,No,Yes,,,"4.0, A2DP","Black, White",,Up to 11 h (2G) / Up to 9 h (3G),"480 x 854 pixels, 16:9 ratio (~196 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"1, 3, 7, 8, 20 - EMEA",,720p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,"1, 2, 3, 4, 7, 28 - LATAM",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 510 h (2G) / Up to 450 h (3G),,microSDHC (dedicated slot),alcatel Pixi 3 (5),,"5.0 inches, 68.9 cm2(~68.3% screen-to-body ratio)",,141 x 71.5 x 10 mm (5.55 x 2.81 x 0.39 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pixi-3-5.jpg,,,"5 MP or 8 MP, AF",,Android 4.4.2 (KitKat) / Android 5.0 (Lollipop) - 4G model,,"4GB 512MB RAM, 8GB 1GB RAM (4G)",,LED flash,HSDPA 900 / 2100 - EMEA
HSDPA 850 / 1900 / 2100 - LATAM,About 60 EUR,microUSB 2.0,,,"Single SIM or Dual SIM (dual stand-by)Mini-SIM (3G model), Micro-SIM (4G model)",GSM / HSPA / LTE,125 g (4.41 oz),,FM radio,Mediatek MT6572M (3G model)MT6735M (4G model),,"Li-Ion 1400 mAh, removable (3G model)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,Accelerometer,,,,VGA,Dual-core 1.0 GHz Cortex-A7 (3G model)Quad-core 1.1 GHz Cortex-A53 (4G model),Mali-400Mali-T720MP2,,,,"2015, January. Released 2015, May",Up to 270 h,No,Yes,,,"4.0, A2DP","Black, White",,Up to 10 h (2G) / Up to 9 h 30 min (3G),"480 x 854 pixels, 16:9 ratio (~218 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"1, 3, 7, 8, 20 - EMEA","1, 2, 3, 4, 7, 28 - LATAM","480p@15fps (3G), 720p@30fps (4G)",,,,alcatel,Up to 10 h,Discontinued,TFT,,,Yes,,,HSDPA 850 / 900 / 2100 - LATAM,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 480 h (2G) / Up to 300 h (3G),,microSDHC (dedicated slot),alcatel Pixi 3 (4.5),,"4.5 inches, 55.8 cm2(~64.8% screen-to-body ratio)",,132.2 x 65.1 x 10 mm (5.20 x 2.56 x 0.39 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pixi-3-4.jpg,,,"5 MP or 8 MP, AF","4027D, 5017X, 5017A, 5017D, 4027X, 4027N",Android 4.4.2 (KitKat),,"4GB 512MB RAM, 4GB 1GB RAM (LATAM)",,LED flash,HSDPA 900 / 2100 - EMEA
HSDPA 850 / 1900 - LATAM,About 50 EUR,microUSB 2.0,,,"Single SIM or Dual SIM (dual stand-by)Mini-SIM (3G model), Micro-SIM (4G model)",GSM / HSPA / LTE,110 g (3.88 oz),,FM radio,Mediatek MT6572M (3G model)Qualcomm MSM8909 (4G model),,"Li-Ion 1400 mAh, removable (EMEA)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"1, 2, 4, 7, 28 - LATAM",Accelerometer,,,,VGA,Dual-core 1.0 GHz Cortex-A7 (3G model)Quad-core 1.1 GHz Cortex-A7 (4G model),Mali-400Adreno 304,,,,"2015, January. Released 2015, March",,No,Yes,,,"4.0, A2DP","Black, White",,Up to 8 h 20 min (2G) / Up to 7 h 40 min (3G),"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"1, 3, 7, 8, 20 - EMEA",HSDPA 850 / 900 / 2100 - LATAM,720p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,HSDPA 850 / 1900 / 2100 - LATAM,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 466 h (2G) / Up to 350 h (3G),,microSDHC (dedicated slot),alcatel Pixi 3 (4),,"4.0 inches, 45.5 cm2(~58.5% screen-to-body ratio)",,121.3 x 64.2 x 11.6 mm (4.78 x 2.53 x 0.46 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pixi-3-4.jpg,,,2 MP or 5 MP,"4013D, 4013X, 4013M","Android 4.2.2 (Jelly Bean), upgradable to 5.0 (Lollipop)",,4GB 512MB RAM,,LED flash,HSDPA 900 / 2100 - EMEA
HSDPA 850 / 1900 - LATAM,About 40 EUR,microUSB 2.0,,,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",GSM / HSPA,98 g (3.46 oz),,FM radio,Mediatek MT6572M (28 nm),,"Li-Ion 1300 mAh, removable",HSPA 21.1/5.76 Mbps,,,,,Accelerometer,,,,VGA,Dual-core 1.0 GHz Cortex-A7,Mali-400,,,,"2015, January. Released 2015, May",Up to 380 h,No,Yes,,Up to 40 h,3.0,Black,,Up to 7 h (2G) / Up to 6 h 30 min (3G),"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,MP3/AAC+/WAV playerMP4/H.264 playerDocument viewer,Yes,,,,alcatel,Up to 6 h,Discontinued,"TFT, 256K colors",,,Yes,,,HSDPA 850 / 1900 / 2100 - LATAM,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 432 h (2G) / Up to 325 h (3G),,microSDHC (dedicated slot),alcatel Pixi 3 (3.5) Firefox,,"3.5 inches, 36.5 cm2(~52.4% screen-to-body ratio)",,112.2 x 62 x 11.9 mm (4.42 x 2.44 x 0.47 in),GPS (optional),https://fdn2.gsmarena.com/vv/bigpic/alcatel-p335-ff.jpg,,,2 MP,,Firefox 2.0,,512MB 256MB RAM,,LED flash (optional),HSDPA 900 / 2100 - EMEA
HSDPA 850 / 1900,,microUSB 2.0,,,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",GSM / HSPA,100 g (3.53 oz),,FM radio,Mediatek MT6572M (28 nm),,"Li-Ion 1300 mAh, removable",HSPA 21.1/5.76 Mbps,,,,,Accelerometer,,,,VGA,Dual-core 1.0 GHz Cortex-A7,Mali-400,,,,"2015, January. Released 2015, February",Up to 381 h,No,Yes,,Up to 40 h,"4.0, A2DP","Black, White",,Up to 7 h (2G) / Up to 6 h 30 min (3G),"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,,480p@15fps,,,,alcatel,Up to 6 h,Discontinued,"TFT, 256K colors",,,Yes,,,HSDPA 850 / 1900 / 2100,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 432 h (2G) / Up to 325 h (3G),,microSDHC (dedicated slot),alcatel Pixi 3 (3.5),,"3.5 inches, 36.5 cm2(~52.4% screen-to-body ratio)",,112.2 x 62 x 11.9 mm (4.42 x 2.44 x 0.47 in),GPS (optional),https://fdn2.gsmarena.com/vv/bigpic/alcatel-pixi-3-3.jpg,,,2 MP,"4009X, 4009D, 4009A",Android 4.4.2 (KitKat),,4GB 512MB RAM,,LED flash (optional),HSDPA 900 / 2100
,About 130 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA,114 g (4.02 oz),,"Stereo FM radio, RDS",,,"Li-Ion 1400 mAh, removable",HSPA 21.1/5.76 Mbps,,,,,"Accelerometer, proximity",,,,VGA,Dual-core 1.3 GHz,,,,,"2014, August. Released 2014, September",,Yes,Yes,,Up to 13 h,"4.0, A2DP","Midnight Blue, Dark Chocolate, Dark Aubergine, White, Red, Yellow, Orange, Green, Purple",,Up to 9 h (2G) / Up to 6 h (3G),"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,720p,,,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 400 h (2G) / Up to 350 h (3G),,microSDHC (dedicated slot),alcatel Pop D3,,"4.0 inches, 45.5 cm2(~58.2% screen-to-body ratio)",,121.6 x 64.4 x 12.1 mm (4.79 x 2.54 x 0.48 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-d3.jpg,,,5 MP,,Android 4.4.2 (KitKat),,4GB 512MB RAM,,"LED flash, HDR",HSDPA 900 / 2100
,About 80 EUR,microUSB 2.0,,,Mini-SIM,GSM / HSPA,101 g (3.56 oz),,"Stereo FM radio, RDS",,,"Li-Ion 1300 mAh, removable",HSPA 21.1/5.76 Mbps,,,,,"Accelerometer, proximity",,,,VGA,Dual-core 1.0 GHz,,,,,"2014, August. Released 2014, September",,No,Yes,,Up to 20 h,"4.0, A2DP","Midnight Blue, Dark Chocolate, Dark Aubergine, White, Red, Yellow, Orange, Green, Purple",,Up to 6 h 40 min (2G) / Up to 2 h 40 min (3G),"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,Yes,,,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 433 h (2G) / Up to 325 h (3G),,microSDHC (dedicated slot),alcatel Pop D1,,"3.5 inches, 36.5 cm2(~52.4% screen-to-body ratio)",,112.2 x 62 x 12 mm (4.42 x 2.44 x 0.47 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-d1.jpg,,,2 MP,,Android 4.4.2 (KitKat),,4GB 512MB RAM,,HDR,HSDPA 900 / 2100
,About 120 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA,149 g (5.26 oz),,"FM radio, RDS",,,"Li-Ion 2000 mAh, removable",HSPA 21.1/5.76 Mbps,,,,,"Accelerometer, proximity, compass",,,,VGA,Quad-core 1.2 GHz,,,,,"2014, September. Released 2014, October",,No,Yes,,Up to 20 h,"4.0, A2DP",Black,,Up to 13 h (2G) / Up to 8 h (3G),"540 x 960 pixels, 16:9 ratio (~220 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,720p@30fps,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 800 h (2G) / Up to 667 h (3G),,microSDHC (dedicated slot),alcatel Pop Icon,,"5.0 inches, 68.9 cm2(~67.8% screen-to-body ratio)",,141 x 72.1 x 9.9 mm (5.55 x 2.84 x 0.39 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-icon.jpg,,,"5 MP, AF",A564C,Android 4.4.2 (KitKat),,4GB 1GB RAM,,LED flash,HSDPA 850 / 1700 / 1900 / 2100
MP3/AAC/WAV playerMP4/H.263 playerPhoto viewer,About 30 EUR,microUSB 2.0,,Yes,Dual SIM (dual stand-by),GSM,93 g (3.28 oz),Yes,FM radio,Spreadtrum 6821,,"Li-Ion 1000 mAh, removable",,,,,,Accelerometer,,,,"VGA, optional/operator dependent",1.0 GHz,,,,,"2014, October. Released 2014, October",,No,Yes,,,"2.1, A2DP","Bluish Black, Dark Chocolate",,Up to 7 h,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 900 / 1800 - SIM 1 & SIM 2,,,,320p,,,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,,,,Wi-Fi 802.11 b/g/n,Up to 160 h,,microSDHC (dedicated slot),alcatel Fire C 2G,,"3.5 inches, 36.5 cm2(~52.4% screen-to-body ratio)",,112.2 x 62 x 12 mm (4.42 x 2.44 x 0.47 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-fire-c-4020d.jpg,,,1.3 MP,4020D,Firefox OS 1.3,,"256MB ROM, 128MB RAM",,,
"1, 2, 4, 7, 28 - 7044A",,microUSB 2.0,,,Micro-SIM,GSM / HSPA / LTE,151 g (5.33 oz),,"Stereo FM radio, RDS",,,"Li-Ion 2500 mAh, removable","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Accelerometer, proximity/ compass (7044Y)",,,,2 MP,Quad-core 1.2 GHz,,,,,"2014, September. Released 2015, May",,Yes (7044Y),Yes,,,"4.0, A2DP","White, Volcano Black, Full White",,Up to 12 h (2G) / Up to 18 h (3G),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20 - 7044Y",,1080p@30fps,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 480 h (2G) / Up to 480 h (3G),,microSDHC (dedicated slot),alcatel Pop 2 (5) Premium,,"5.0 inches, 68.9 cm2(~68.4% screen-to-body ratio)",,141 x 71.5 x 8.9 mm (5.55 x 2.81 x 0.35 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-2-5-prem.jpg,,,"8 MP, AF",,Android 5.0 (Lollipop),,8GB 1GB RAM,,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1900 / 2100
"1, 2, 4, 7, 28 - 7043A, 7043E",,microUSB 2.0,,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",GSM / HSPA / LTE,170 g (6.00 oz),,"Stereo FM radio, RDS",,,"Li-Ion 2500 mAh, removable","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Accelerometer, proximity",,,,VGA,Quad-core 1.2 GHz,,,,,"2014, September. Released 2015, May",,Yes (7043Y / 7043K),Yes,,,"4.0, A2DP","Black/White, Platinum Silver, Ash Gray, Volcano BlackFull White, White/Platinum Silver, Cozy Red, Lemon Yellow, Aqua Blue, Jade Green, Lavender",,Up to 8 h 20 min,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"1, 3, 7, 8, 20 - 7043Y, 7043K",,1080p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 500 h (2G) / Up to 500 h (3G),,microSDHC (dedicated slot),alcatel Pop 2 (5),,"5.0 inches, 68.9 cm2(~68.3% screen-to-body ratio)",,141 x 71.5 x 9.7 mm (5.55 x 2.81 x 0.38 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-2-5.jpg,,,"5 MP, AF","7043A, 7043K, 7043Y",Android 5.0 (Lollipop),,8GB 1GB RAM,,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1900 / 2100
,,microUSB 2.0,,,Micro-SIM,GSM / HSPA / LTE,125 g (4.41 oz),,"Stereo FM radio, RDS",,,"Li-Ion 2000 mAh, removable","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,,,"Accelerometer, proximity, compass",,,,VGA,Quad-core 1.2 GHz,,,,,"2014, September. Released 2015, May",,No,Yes,,,"4.0, A2DP","Full White, Black/White, Ash Gray, Volcano BlackWhite/Cozy Red, Lemon Yellow/ Aqua Blue",,Up to 6 h (2G) / Up to 5 h (3G),"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20",,720p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 250 h (2G) / Up to 200 h (3G),,microSDHC (dedicated slot),alcatel Pop 2 (4),,"4.0 inches, 45.5 cm2(~58.2% screen-to-body ratio)",,121.5 x 64.4 x 12.4 mm (4.78 x 2.54 x 0.49 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-2-4.jpg,,,3.15 MP,,Android 5.0 (Lollipop),,4GB 512MB RAM,,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1900 / 2100
