4G bands,,Features,Talk time_1,Technology,Stand-by,Camera,Brand,Battery (old),CPU,_4,Music play,Type,Colors,Dual or Triple,3G bands,_6,Announced,_7,Positioning,Model Image,Dual,Call records,Single_1,Clock,OS,3.5mm jack,Triple,Protection,Phonebook,Internal,USB,Talk time,Model Name,_3,Card slot,Display,Single,SAR EU,Dimensions,5G bands,Charging,Build,NFC,Java,GPRS,Video,Performance,Features_1,Loudspeaker_1,GPU,_5,Resolution,_10,_1,Radio,Infrared port,2G bands,Price,_2,_8,Status,Video_1,Size,Audio quality,Speed,Loudspeaker,Quad,Browser,_9,Models,Chipset,Bluetooth,Type_1,Weight,SIM,Games,Languages,Stand-by_1,EDGE,Sensors,WLAN,Keyboard,Messaging,Alert types,Alarm,SAR
"1, 3, 7, 8, 20 - H955",CDMA 800 / 1900 - US995 (U.S. Cellular),"Laser AF, color spectrum sensor, Dual-LED flash, panorama, HDR",,GSM / CDMA / HSPA / EVDO / LTE,Up to 520 h (2G) / Up to 450 h (3G),Photo/Video,LG,Endurance rating 62h,Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),LTE - US995 (U.S. Cellular),,Curved P-OLED,"Platinum Silver, Flamenco Red",,HSDPA 850 / 900 / 1900 / 2100,eMMC 5.0,"2015, January. Released 2015, February",DMB TV tuner (Korean model only),"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-g-flex2.jpg,,,2.1 MP,,"Android 5.0.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",Yes,,Corning Gorilla Glass 3,,"16GB 2GB RAM, 32GB 3GB RAM","microUSB 2.0 (SlimPort), OTG",Up to 18 h (2G) / Up to 20 h (3G),LG G Flex2,"1, 2, 3, 4, 5, 7, 17 - H950 (AT&T)",microSDXC (dedicated slot),,"13 MP, f/2.4, OIS",0.68 W/kg (head)     0.44 W/kg (body),149.1 x 75.3 x 9.4 mm (5.87 x 2.96 x 0.37 in),,"18W wired, QC2","Glass front (Gorilla Glass 3), plastic back, plastic frame",Yes,,,"4K@30fps, 1080p@60fps, HDR, stereo sound rec.",,,,Adreno 430,Self-healing back panel coating,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",,CDMA2000 1xEV-DO - US995 (U.S. Cellular),"Stereo FM radio, RDS",Yes,GSM 850 / 900 / 1800 / 1900,About 270 EUR,"2, 4, 12, 25, 26, 41 - LS996 (Sprint)",,Discontinued,1080p@30fps,"5.5 inches, 82.6 cm2(~73.5% screen-to-body ratio)",,"HSPA 42.2/21.1 Mbps, LTE Cat6 300/50 MbpsLTE, EV-DO Rev.A 3.1 Mbps - US995 (U.S. Cellular)",Yes,,,,"F510, LS996, H950, H955, US995, LGLS996",Qualcomm MSM8994 Snapdragon 810 (20 nm),"4.1, A2DP, LE, aptX","Li-Po 3000 mAh, non-removable",152 g (5.36 oz),Micro-SIM,,,,,"Accelerometer, gyro, proximity, compass","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",,,,,1.10 W/kg (head)     1.07 W/kg (body)
"25, 26, 41",eMMC 4.5,"LED flash, panorama",,CDMA / EVDO / LTE,,,LG,,Quad-core 1.2 GHz Cortex-A7,,,IPS LCD,White,,CDMA2000 1xEV-DO,,"2014, September. Released 2014, October",,GPS,https://fdn2.gsmarena.com/vv/bigpic/lg-tribute-ls660.jpg,,,VGA,,Android 4.4.2 (KitKat),Yes,,,,4GB 1GB RAM,microUSB 2.0,Up to 15 h (3G),LG Tribute,,microSDHC (dedicated slot),,"5 MP, AF",,127.5 x 67.8 x 10.7 mm (5.02 x 2.67 x 0.42 in),,,,No,,,1080p@30fps,,,,Adreno 305,,"480 x 800 pixels, 5:3 ratio (~207 ppi density)",,,No,,CDMA 800 / 1900,About 50 EUR,,,Discontinued,,"4.5 inches, 57.6 cm2(~66.7% screen-to-body ratio)",,"LTE, EV-DO Rev.A 3.1 Mbps",Yes,,,,LGLS676,Qualcomm MSM8926 Snapdragon 400 (28 nm),"4.0, A2DP, LE","Li-Ion 2100 mAh, removable",138.9 g (4.94 oz),Micro-SIM,,,,,"Accelerometer, proximity","Wi-Fi 802.11 b/g/n, hotspot",,,,,
,Digital TV,LED flash,,GSM / HSPA,,,LG,,Quad-core 1.3 GHz,,,IPS LCD,"White, Titanium, Gold",,HSDPA 850 / 2100,,"2014, November. Released 2014, November",,GPS,https://fdn2.gsmarena.com/vv/bigpic/lg-l-prime-d337.jpg,,,1.3 MP,,Android 4.4.2 (KitKat),Yes,,,,8GB 1GB RAM,microUSB 2.0,,LG L Prime,,microSDHC (dedicated slot),,8 MP,,138.2 x 70.6 x 10.7 mm (5.44 x 2.78 x 0.42 in),,,,No,,,720p,,,,,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,,FM radio,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,About 130 EUR,,,Discontinued,,"5.0 inches, 68.9 cm2(~70.6% screen-to-body ratio)",,HSPA,Yes,,,,D337,,"4.0, A2DP","Li-Ion 2460 mAh, removable",-,Dual SIM (dual stand-by),,,,,"Accelerometer, proximity",Wi-Fi 802.11 b/g,,,,,0.58 W/kg (head)     1.28 W/kg (body)
,,LED flash,,GSM / HSPA,Up to 345 h (2G) / Up to 345 h (3G),,LG,,Quad-core 1.2 GHz,,,IPS LCD,"White, Black, Gold",,HSDPA 850 / 2100,,"2014, November. Released 2014, November",,GPS,https://fdn2.gsmarena.com/vv/bigpic/lg-g2-lite-d295.jpg,,,VGA,,Android 4.4.2 (KitKat),Yes,,,,4GB 1GB RAM,microUSB 2.0,Up to 15 h (2G) / Up to 11 h 30 min (3G),LG G2 Lite,,"microSDHC (dedicated slot), 4 GB included",,8 MP,0.75 W/kg (head)     0.67 W/kg (body),127.5 x 67.9 x 11.9 mm (5.02 x 2.67 x 0.47 in),,,,No,,,480p,,,,,,"480 x 800 pixels, 5:3 ratio (~207 ppi density)",,,FM radio,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,About 100 EUR,,,Discontinued,,"4.5 inches, 57.6 cm2(~66.6% screen-to-body ratio)",,HSPA,Yes,,,,,,"4.0, A2DP","Li-Ion 1820 mAh, removable",153.7 g (5.40 oz),Dual SIM (dual stand-by),,,,,"Accelerometer, proximity","Wi-Fi 802.11 b/g/n, hotspot",,,,,
"1, 3, 7, 8, 20, 28, 40 - SIM 1",HSDPA 850 / 900 / 1900 / 2100 - D858HK,"Laser AF, Dual-LED dual-tone flash, panorama, HDR",,GSM / HSPA / LTE,Up to 530 h (2G) / Up to 638 h (3G),,LG,,Quad-core 2.5 GHz Krait 400,,,True HD-IPS + LCD,"Metallic Black, Silk White",,HSDPA 900 / 2100 - D856,,"2014, October. Released 2014, November",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-g3-dual-sim.jpg,,,2.1 MP,,"Android 4.4.2 (KitKat), upgradable to 5.0.2 (Lollipop) or v6.0 (Marshmallow)",Yes,,Corning Gorilla Glass 3,,32GB 3GB RAM,"microUSB 2.0 (SlimPort), OTG",Up to 22 h (2G) / Up to 20 h (3G),LG G3 Dual-LTE,,microSDXC (dedicated slot),,"13 MP, 1/3.0"", PDAF, OIS",1.46 W/kg (head)     0.38 W/kg (body),146.3 x 74.6 x 8.9 mm (5.76 x 2.94 x 0.35 in),,Wireless (Qi) (optional),,Yes,,,"4K@30fps, 1080p@30fps, HDR, stereo sound rec.",,,,Adreno 330,,"1440 x 2560 pixels, 16:9 ratio (~534 ppi density)",,"1, 3, 7, 38, 39, 40, 41 - D858HK","Stereo FM radio, RDS",Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,About 250 EUR,eMMC 5.0,,Discontinued,1080p@30fps,"5.5 inches, 83.4 cm2(~76.4% screen-to-body ratio)",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,,,,"D858HK, D856",Qualcomm MSM8975AC Snapdragon 801 (28 nm),"4.0, A2DP, LE","Li-Ion 3000 mAh, removable",149 g (5.26 oz),"Dual SIM (Micro-SIM, dual stand-by)",,,,,"Accelerometer, gyro, proximity, compass","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",,,,,
LTE,,"Dual-LED flash, panorama, HDR",,GSM / HSPA / LTE,Up to 640 h (3G),,LG,,Octa-core (4x1.5 GHz Cortex-A15 4x1.2 GHz Cortex-A7),,,IPS LCD,"Black, White",,HSDPA,,"2014, October. Released 2014, December",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-g3-screen.jpg,,,2.1 MP,,Android 4.4.4 (KitKat),Yes,,,,32GB 2GB RAM,microUSB 2.0,Up to 13 h (3G),LG G3 Screen,,microSDXC (dedicated slot),,"13 MP, 1/3.0"", AF, OIS",,157.8 x 81.8 x 9.5 mm (6.21 x 3.22 x 0.37 in),,,,Yes,,Yes,"1080p@30fps, HDR, stereo sound rec.",,,,,,"1080 x 1920 pixels, 16:9 ratio (~373 ppi density)",,,No,,GSM 850 / 900 / 1800 / 1900,About 250 EUR,,,Discontinued,1080p@30fps,"5.9 inches, 96.0 cm2(~74.3% screen-to-body ratio)",,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Yes,,,,F490L,LG Nuclun,"4.0, A2DP","Li-Ion 3000 mAh, removable",182 g (6.42 oz),Micro-SIM,,,,Yes,"Accelerometer, gyro, proximity, compass","Wi-Fi 802.11 b/g/n, hotspot",,,,,
"3, 7, 20 - D390N",GSM 850 / 900 / 1800 / 1900 - D390N,"LED flash, panorama",,GSM / HSPA / LTE,,,LG,,Quad-core 1.2 GHz Cortex-A53,,,IPS LCD,"White, Black",,HSDPA 900 / 1900 / 2100 - D390N,,"2014, September. Released 2014, October",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-l-fino.jpg,,,VGA,,Android 4.4.2 (KitKat),Yes,,,,"4GB 1GB RAM, 8GB 1GB RAM",microUSB 2.0,,LG F60,,microSDHC (dedicated slot),,"5 MP, AF",0.66 W/kg (head)     0.56 W/kg (body),127.5 x 67.9 x 10.6 mm (5.02 x 2.67 x 0.42 in),,,,No,,,720p@30fps,,,,Adreno 306,,"480 x 800 pixels, 5:3 ratio (~207 ppi density)",,HSDPA 850 / 900 / 2100 - D392,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - D392,About 100 EUR,eMMC 4.5,,Discontinued,,"4.5 inches, 57.6 cm2(~66.6% screen-to-body ratio)",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,,,,D390n,Qualcomm MSM8916 Snapdragon 410 (28 nm),"4.0, A2DP","Li-Ion 2100 mAh, removable",129.6 g (4.55 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,,,"Accelerometer, proximity","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",,,,,1.36 W/kg (head)     0.99 W/kg (body)
,,"LED flash, panorama",,GSM / HSPA,Up to 264 h,,LG,,Dual-core 1.3 GHz,,,TFT,"Black, White",,HSDPA 900 / 2100,,"2014, August. Released 2014, August",,GPS,https://fdn2.gsmarena.com/vv/bigpic/lg-l60.jpg,,,VGA,,Android 4.4.2 (KitKat),Yes,,,,4GB 512MB RAM,microUSB 2.0,Up to 5 h 12 min,LG L60,,microSDHC (dedicated slot),,5 MP,0.50 W/kg (head)     0.68 W/kg (body),124.1 x 66.3 x 11.8 mm (4.89 x 2.61 x 0.46 in),,,,No,,,480p@30fps,,,,Adreno 305,,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",,,FM radio,,GSM 900 / 1800,About 90 EUR,,,Discontinued,,"4.3 inches, 52.6 cm2(~64.0% screen-to-body ratio)",,HSPA 21.1/5.76 Mbps,Yes,,,,X145,,"4.0, A2DP","Li-Ion 1540 mAh, removable",119 g (4.20 oz),Micro-SIM,,,,,"Accelerometer, proximity","Wi-Fi 802.11 b/g/n, hotspot",,,,,
,,"LED flash, panorama",,GSM / HSPA,,,LG,,Dual-core 1.3 GHz,,,TFT,"Black, White",,HSDPA 900 / 2100,,"2014, August. Released 2014, August",,GPS,https://fdn2.gsmarena.com/vv/bigpic/lg-l60-dual.jpg,,,VGA,,Android 4.4.2 (KitKat),Yes,,,,4GB 512MB RAM,microUSB 2.0,,LG L60 Dual,,microSDHC (dedicated slot),,5 MP,0.35 W/kg (head)     0.68 W/kg (body),124.1 x 66.3 x 12 mm (4.89 x 2.61 x 0.47 in),,,,No,,,480p@30fps,,,,Adreno 305,,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",,,FM radio,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,About 90 EUR,,,Discontinued,,"4.3 inches, 52.6 cm2(~64.0% screen-to-body ratio)",,HSPA 21.1/5.76 Mbps,Yes,,,,X147,,"4.0, A2DP","Li-Ion 1700 mAh, removable",-,"Dual SIM (Mini-SIM, dual stand-by)",,,,,"Accelerometer, proximity","Wi-Fi 802.11 b/g/n, hotspot",,,,,
,Stylus,"LED flash, panorama",,GSM / HSPA,Up to 780 h (2G) / Up to 880 h (3G),,LG,,Quad-core 1.3 GHz Cortex-A7,,,IPS LCD,"Black, White, Gold",,HSDPA 850 / 900 / 1900 / 2100 - D690,,"2014, August. Released 2014, October",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-g3-stylus.jpg,,,1.3 MP,,Android 4.4.2 (KitKat),Yes,,,,8GB 1GB RAM,microUSB 2.0,Up to 25 h (2G) / Up to 16 h 30 min (3G),LG G3 Stylus,,microSDHC (dedicated slot),,"13 MP, f/2.4, AF",0.27 W/kg (head)     0.43 W/kg (body),149.3 x 75.9 x 10.2 mm (5.88 x 2.99 x 0.40 in),,,,No,,,1080p@30fps,,,,Mali-400MP2,,"540 x 960 pixels, 16:9 ratio (~200 ppi density)",,,FM radio,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,About 240 EUR,,,Discontinued,,"5.5 inches, 83.4 cm2(~73.6% screen-to-body ratio)",,HSPA 21.1/5.76 Mbps,Yes,,,,"D690, D693n",Mediatek MT6582 (28 nm),"4.0, A2DP","Li-Ion 3000 mAh, removable",163 g (5.75 oz),"Dual SIM (Micro-SIM, dual stand-by)",,,,,"Accelerometer, proximity, compass","Wi-Fi 802.11 b/g/n, hotspot",,,,,0.28 W/kg (head)     0.59 W/kg (body)
,HSDPA 900 / 2100 - D331,"LED flash, panorama",,GSM / HSPA,Up to 600 h (2G) / Up to 600 h (3G),,LG,,Quad-core 1.3 GHz Cortex-A7,,,IPS LCD,"White, Black, Gold",,HSDPA 850 / 900 / 2100 - D335,,"2014, August. Released 2014, September",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-l-bello.jpg,,,1 MP,,"Android 4.4.2 (KitKat), LG UI 3",Yes,,,,8GB 1GB RAM,microUSB 2.0,Up to 12 h 30 min (2G) / Up to 10 h (3G),LG L Bello,,microSDHC (dedicated slot),,"8 MP, AF",0.59 W/kg (head)     0.76 W/kg (body),138.1 x 70.6 x 10.7 mm (5.44 x 2.78 x 0.42 in),,,,No,,,1080p@30fps,,,,Mali-400MP2,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,,"FM radio, RDS",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),About 100 EUR,,,Discontinued,,"5.0 inches, 68.9 cm2(~70.7% screen-to-body ratio)",,HSPA 21.1/5.76 Mbps,Yes,,,,"D335, D331, D335E",Mediatek MT6582 (28 nm),"4.0, A2DP","Li-Ion 2540 mAh, removable",137 g (4.83 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,,,"Accelerometer, proximity","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,,,0.58 W/kg (head)     1.28 W/kg (body)
,eMMC 4.5,"LED flash, panorama",,GSM / HSPA,Up to 345 h (3G),,LG,,Quad-core 1.2 GHz Cortex-A7,,,IPS LCD,"White, Black, Gold, Red, Green",,HSDPA 900 / 2100,,"2014, August. Released 2014, September",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-l-fino.jpg,,,VGA,,"Android 4.4.2 (KitKat), LG UI 3",Yes,,Corning Gorilla Glass 3,,4GB 1GB RAM,microUSB 2.0,Up to 15 h (3G),LG L Fino,,microSDHC (dedicated slot),,"8 MP, AF",,127.5 x 67.9 x 11.9 mm (5.02 x 2.67 x 0.47 in),,,,Yes,,,480p,,,,Adreno 302,,"480 x 800 pixels, 5:3 ratio (~207 ppi density)",,,"FM radio, RDS",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),About 110 EUR,,,Discontinued,,"4.5 inches, 57.6 cm2(~66.6% screen-to-body ratio)",,HSPA 21.1/5.76 Mbps,Yes,,,,"D295, D290",Qualcomm MSM8212 Snapdragon 200 (28 nm),"4.0, A2DP","Li-Ion 1900 mAh, removable",145 g (5.11 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,,,"Accelerometer, proximity","Wi-Fi 802.11 b/g/n, hotspot",,,,,
"3, 4, 7, 20",HSDPA 900 / 2100,Panorama,,GSM / HSPA / LTE,Up to 650 h (3G),,LG,,Quad-core 1.2 GHz Cortex-A7,,,IPS LCD,"Black, White, Luminous Orange, Luminous Blue",,HSDPA 850 / 900 / 1900 / 2100,,"2014, August. Released 2014, August",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-g-pad-80-2014.jpg,,,1.3 MP,,"Android 4.4.2 (KitKat), upgradable to 5.0.2 (Lollipop)",Yes,,Corning Gorilla Glass,,"16GB 1GB RAM, 32GB 1GB RAM",microUSB 2.0,,LG G Pad 8.0 LTE,,microSDHC (dedicated slot),,"5 MP, AF",,210.8 x 124.2 x 10 mm (8.30 x 4.89 x 0.39 in),,,,No,,,1080p@30fps,,,,Adreno 305,,"800 x 1280 pixels, 16:10 ratio (~188 ppi density)",,"3, 7, 8, 20",No,Yes,GSM 850 / 900 / 1800 / 1900,About 240 EUR,eMMC 4.5,,Discontinued,720p,"8.0 inches, 187.6 cm2(~71.6% screen-to-body ratio)",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,,,,V49,Qualcomm MSM8926 Snapdragon 400 (28 nm),"4.0, LE","Li-Ion 4200 mAh, non-removable",344 g (12.13 oz),Micro-SIM,,,,,"Accelerometer, compass","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot, Wi-Fi Direct, DLNA",,,,,
"2, 4, 5, 17",eMMC 4.5,"Laser AF, LED flash, panorama, HDR",,GSM / HSPA / LTE,Up to 657 h (3G),,LG,,Quad-core 1.2 GHz,,,IPS LCD,Metallic Black,,HSDPA 850 / 1900 / 2100,,"2014, August. Released 2014, August",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-g-vista-att.jpg,,,1.3 MP,,Android 4.4.2 (KitKat),Yes,,Corning Gorilla Glass 3,,8GB 1.5GB RAM,microUSB 2.0,Up to 26 h 40 min (3G),LG G Vista,,microSDHC (dedicated slot),,8 MP,,152.1 x 79.2 x 9.1 mm (5.99 x 3.12 x 0.36 in),,,,Yes,,,1080p@30fps,,,,Adreno 305,,"720 x 1280 pixels, 16:9 ratio (~258 ppi density)",,,No,,GSM 850 / 900 / 1800 / 1900,About 270 EUR,,,Discontinued,,"5.7 inches, 89.6 cm2(~74.4% screen-to-body ratio)",,"HSPA, LTE",Yes,,,,D631,Qualcomm Snapdragon 400 (28 nm),"4.0, A2DP","Li-Ion 3200 mAh, removable",167 g (5.89 oz),Micro-SIM,,,,,"Accelerometer, proximity, compass","Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, Wi-Fi Direct, hotspot",,,,,
LTE,eMMC 4.5,"Laser AF, Dual-LED dual-tone flash, panorama, HDR",,GSM / HSPA / LTE,Up to 532 h (2G) / Up to 628 h (3G),,LG,,Quad-core 2.26 GHz Krait 400,,,IPS LCD,"White, Titanium",,HSDPA,,"2014, August. Released 2014, August",,GPS,https://fdn2.gsmarena.com/vv/bigpic/lg-g3-1.jpg,,,2.1 MP,,Android 4.4.2 (KitKat),Yes,,To be confirmed,,32GB 2GB RAM,microUSB 2.0,Up to 12 h (2G) / Up to 19 h (3G),LG G3 A,,microSDXC (dedicated slot),,"13 MP, 1/3.0"", OIS",,141 x 71.6 x 9.8 mm (5.55 x 2.82 x 0.39 in),,,,Yes,,Class 12,Yes,,,,Adreno 330,,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",,DMB TV tuner,No,,GSM 850 / 900 / 1800 / 1900,About 360 EUR,,,Discontinued,,"5.2 inches, 74.5 cm2(~73.8% screen-to-body ratio)",,"HSPA, LTE",Yes,,,,,Qualcomm Snapdragon 800 (28 nm),"4.0, A2DP, LE","Li-Ion 2610 mAh, removable",146.8 g (5.19 oz),Micro-SIM,,,,Class 12,"Accelerometer, gyro, proximity, compass","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",,,,,
"2, 4, 5, 17",eMMC 4.5,,,HSPA / LTE,Up to 552 h (3G),,LG,,Quad-core 1.2 GHz Cortex-A7,,,IPS LCD,Black,,HSDPA 850 / 1900 / 2100,,"2014, August. Released 2014, August",,GPS,https://fdn2.gsmarena.com/vv/bigpic/lg-gpad-7-lte.jpg,,,Yes,,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",Yes,,,,16GB 1GB RAM,microUSB 2.0,Up to 10 h (multimedia) (3G),LG G Pad 7.0 LTE,,microSDHC (dedicated slot),,5 MP,,189.2 x 113.8 x 10.2 mm (7.45 x 4.48 x 0.40 in),,,,No,,,Yes,,,,Adreno 305,,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",,,No,Yes,N/A,About 190 EUR,,,Discontinued,,"7.0 inches, 142.1 cm2(~66.0% screen-to-body ratio)",,"HSPA, LTE",Yes,,,,V410,Qualcomm Snapdragon 400 (28 nm),"4.0, A2DP","Li-Ion 4000 mAh, non-removable",294.8 g (10.41 oz),Micro-SIM,,,,,"Accelerometer, compass","Wi-Fi 802.11 a/b/g/n, dual-band",,,,,
,,"LED flash, panorama",,GSM / HSPA,,,LG,,Dual-core 1.3 GHz Cortex-A7,,,TFT,"Black, White",,HSDPA 900 / 2100,,"2014, July. Released 2014, July",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-l50.jpg,,,VGA,,Android 4.4.2 (KitKat),Yes,,,,4GB 512MB RAM,microUSB 2.0,,LG L50,,microSDHC (dedicated slot),,3.15 MP,1.12 W/kg (head)     0.78 W/kg (body),124.5 x 65.4 x 12.2 mm (4.90 x 2.57 x 0.48 in),,,,Yes,,,480p,,,,Mali-400,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,"FM radio, recording",,GSM 850 / 900 / 1800 / 1900,About 100 EUR,,,Discontinued,,"4.0 inches, 45.5 cm2(~55.9% screen-to-body ratio)",,HSPA 21.1/5.76 Mbps,Yes,,,,"L50, D213",Mediatek MT6572 (28 nm),"4.0, A2DP","Li-Ion 1900 mAh, removable",142 g (5.01 oz),Micro-SIM,,,,,"Accelerometer, proximity, compass","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,,,
,HSDPA 850 / 1900,,,GSM / HSPA,,,LG,,Dual-core 1.0 GHz Cortex-A7,,,TFT,"Black, White",,HSDPA 900 / 2100,,"2014, June. Released 2014, June",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-l30.jpg,,,,,Android 4.4.2 (KitKat),Yes,,,,4GB 512MB RAM,microUSB 2.0,,LG L30,,microSDHC (dedicated slot),,2 MP,,105.6 x 64.5 x 13 mm (4.16 x 2.54 x 0.51 in),,,,No,,,480p,,,,Mali-400,,"240 x 320 pixels, 4:3 ratio (~125 ppi density)",,HSDPA 850 / 2100,FM radio,,GSM 850 / 900 / 1800 / 1900,About 60 EUR,No,,Discontinued,,"3.2 inches, 31.7 cm2(~46.6% screen-to-body ratio)",,HSPA 14.4/5.76 Mbps,Yes,,,,,Mediatek MT6572M (28 nm),"4.0, A2DP","Li-Ion 1540 mAh, removable",-,Mini-SIM,,,,,Accelerometer,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,,,
,HSDPA 850 / 1900,,,GSM / HSPA,,,LG,,Dual-core 1.0 GHz Cortex-A7,,,TFT,"Black, White",,HSDPA 900 / 2100,,"2014, July. Released 2014, July",,"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-l20.jpg,,,,,Android 4.4.2 (KitKat),Yes,,,,4GB 512MB RAM,microUSB 2.0,,LG L20,,microSDHC (dedicated slot),,2 MP,,105.6 x 64.5 x 13 mm (4.16 x 2.54 x 0.51 in),,,,No,,,480p,,,,Mali-400,,"240 x 320 pixels, 4:3 ratio (~133 ppi density)",,HSDPA 850 / 2100,FM radio,,GSM 850 / 900 / 1800 / 1900,About 50 EUR,No,,Discontinued,,"3.0 inches, 27.9 cm2(~40.9% screen-to-body ratio)",,HSPA 14.4/5.76 Mbps,Yes,,,,,Mediatek MT6572M (28 nm),"4.0, A2DP","Li-Ion 1540 mAh, removable",-,Mini-SIM,,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,,,
"4, 13",,"Laser AF, LED flash, panorama, HDR",,CDMA / EVDO / LTE,Up to 514 h (3G),,LG,,Quad-core 1.2 GHz,,,IPS LCD,Metallic Black,,CDMA2000 1xEV-DO,,"2014, August. Released 2014, August",,"GPS, S-GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/lg-g-vista-cdma.jpg,,,1.3 MP,,"Android 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop)",Yes,,Corning Gorilla Glass 3,,8GB 1.5GB RAM,microUSB 2.0,Up to 15 h (3G),LG G Vista (CDMA),,microSDXC (dedicated slot),,8 MP,,152.2 x 79.3 x 9.1 mm (5.99 x 3.12 x 0.36 in),,,,Yes,,,1080p@30fps,,,,,,"720 x 1280 pixels, 16:9 ratio (~258 ppi density)",,,No,,CDMA 800 / 1900,About 300 EUR,,,Discontinued,,"5.7 inches, 89.6 cm2(~74.2% screen-to-body ratio)",,"EV-DO Rev.A 3.1 Mbps, LTE",Yes,,,,"F430L, VS880PP",,"4.0, A2DP","Li-Ion 3200 mAh, removable",168.1 g (5.93 oz),Micro-SIM,,,,,"Accelerometer, proximity, compass","Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, Wi-Fi Direct, hotspot",,,,,0.48 W/kg (head)     1.01 W/kg (body)
