Unnamed: 0,128GB 4GB RAM,1TB 12GB RAM,1TB 16GB RAM,1TB 24GB RAM,256GB 12GB RAM,256GB 4GB RAM,256GB 8GB RAM,2G bands,3.5mm jack,3G bands,4G bands,512GB 12GB RAM,512GB 16GB RAM,5G bands,Announced,Audio quality,Battery (new),Battery (old),Bluetooth,Brand,Browser,Build,CPU,Call records,Camera,Card slot,Charging,Chipset,Colors,Dimensions,Display,Dual,EDGE,Features,GPRS,GPU,Games,Infrared port,Internal,Java,Keyboard,Loudspeaker,Messaging,Model Image,Model Name,Models,Music play,NFC,OS,Performance,Phonebook,Positioning,Price,Protection,Quad,Radio,Resolution,SAR,SAR EU,SIM,Sensors,Single,Size,Speed,Stand-by,Status,Talk time,Technology,Triple,Type,USB,Video,WLAN,Weight,URL,Image,Network,Launch,Body,Platform,Memory,Main Camera,Selfie camera,Sound,Comms,Battery,Misc
,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 1700(AWS) / 1900 - Mexico,"1, 2, 4, 5, 7, 26, 28, 66 - Mexico",,,,"2021, July 16",,,,"4.2, A2DP",ZTE,,,Octa-core 1.6 GHz,,,microSDXC,,,"Black, Blue, Green",173 x 78.1 x 8.9 mm (6.81 x 3.07 x 0.35 in),,,,"LED flash, HDR, panorama",,,,,128GB 3GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-v30-vita.jpg,ZTE Blade V30 Vita,8030,,No,Android 11,,,GPS,,,,Unspecified,"720 x 1640 pixels, 3:2 ratio (~288 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer, proximity","8 MP, f/2.0, (wide)","6.82 inches, 137.8 cm2(~102.0% screen-to-body ratio)","HSPA, LTE",,"Available. Released 2021, August 16",,GSM / HSPA / LTE,"48 MP, f/1.8, 26mm (wide), PDAF5 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",Li-Po 5000 mAh,USB Type-C 2.0,,Wi-Fi 802.11 b/g/n/ac,210 g (7.41 oz),,,,,,,,,,,,,
,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 1700(AWS) / 1900 - Mexico,"1, 2, 3, 4, 5, 7, 12, 13, 26, 28, 66 - Mexico",,,,"2021, July 16",,,,"5.0, A2DP, LE",ZTE,,,Octa-core (2x2.0 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),,,microSDXC,18W wired,Unisoc Tiger T618 (12 nm),"Black, Blue",165.8 x 77.8 x 8.9 mm (6.53 x 3.06 x 0.35 in),,,,"LED flash, HDR, panorama",,Mali G52 MP2,,,128GB 4GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-v30-.jpg,ZTE Blade V30,9030,,No,Android 11,,,GPS,About 200 EUR,,,Unspecified,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer, gyro, proximity","16 MP, f/2.0, (wide)","6.67 inches, 107.4 cm2(~83.3% screen-to-body ratio)","HSPA, LTE",,"Available. Released 2021, September 01",,GSM / HSPA / LTE,"64 MP, f/1.8, 26mm (wide), PDAF8 MP, f/2.4, 120˚, 16mm (ultrawide)5 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",Li-Po 5000 mAh,USB Type-C 2.0,,Wi-Fi 802.11 b/g/n/ac,193 g (6.81 oz),,,,,,,,,,,,,
32-bit/384kHz Hi-Res audio,,,,,,,,GSM 850 / 900 / 1800 / 1900,No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 5, 7, 8, 4, 12, 17, 20, 34, 38, 39, 40, 41 - China",,,"1, 28, 41, 78 SA/NSA - China","2021, May 27",,,Endurance rating 76h,"5.2, A2DP, aptX, LE",ZTE,,"Glass front (Gorilla Glass 3), aluminum frame, glass back",Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),,Photo/Video,No,"55W wired, PD3.0, QC4 (China)30W wired, PD3.0, QC4 (International)",Qualcomm SM8350 Snapdragon 888 5G (5 nm),"Black, Mercury Silver, Light Blue",163 x 75.3 x 7.8 mm (6.42 x 2.96 x 0.31 in),588 nits max brightness (measured),,,HDR,,Adreno 660,,,"128GB 6GB RAM, 128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM",,,-27.9 LUFS (Good),,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-6r-new.jpg,ZTE nubia Red Magic 6R,NX666J,,Yes (market/region dependent),"Android 11, Redmagic 4.0",AnTuTu: 708156 (v8) | 823354 (v9)GeekBench: 3486 (v5.1)GFXBench: 59fps (ES 3.1 onscreen),,"GPS (L1+L5), GLONASS, BDS",About 500 EUR,Corning Gorilla Glass 3,"64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF8 MP, f/2.0, 120˚, 13mm (ultrawide), 1/4.0"",  1.12µm5 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",No,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","16 MP, (wide)","6.67 inches, 107.4 cm2(~87.5% screen-to-body ratio)","HSPA, LTE, 5G",,"Available. Released 2021, June 02",,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,Li-Po 4200 mAh,"USB Type-C 3.0, OTG, accessory connector",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",186 g (6.56 oz),,,,,,,,,,,,,
24-bit/192kHz Hi-Res audio,,,,,,,,GSM 850 / 900 / 1800 / 1900,No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41",,,"1, 3, 28, 41, 77, 78, 79 SA/NSA","2021, May 20",,,,"5.1, A2DP, LE, aptX",ZTE,,,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),,,No,"120W wired, 100% in 15 min",Qualcomm SM8350 Snapdragon 888 5G (5 nm),"Silver, Black, Black/Gold",161.8 x 73 x 8.5 mm (6.37 x 2.87 x 0.33 in),,,,HDR,,Adreno 660,,,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 16GB RAM",,,"Yes, with stereo speakers",,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-z30-pro.jpg,ZTE nubia Z30 Pro,NX667J,,Yes,"Android 11, nubia UI 9",,,"GPS, GLONASS, GALILEO, BDS",About 640 EUR,,"64 MP, f/1.6, 26mm (wide), 1/1.72"", 0.8µm, PDAF, OIS64 MP, f/1.9, 35mm (standard), 1/1.97"", 0.7µm, PDAF8 MP, f/3.4, 123mm (periscope telephoto), 1/4.0"", PDAF, OIS, 5x optical zoom64 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/1.97"", 0.7µm",No,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",16 MP,"6.67 inches, 107.4 cm2(~90.9% screen-to-body ratio)","HSPA, LTE (CA), 5G",,"Available. Released 2021, May 25",,GSM / CDMA / HSPA / LTE / 5G,,Li-Po 4200 mAh,USB Type-C 3.1,"4K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",198 g (6.98 oz),,,,,,,,,,,,,
eMMC 5.1,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 1900 / 2100,"2, 4, 5, 12, 13, 66",,,,"2021, April 27",,,,"5.1, A2DP, LE",ZTE,,"Glass front, plastic frame, plastic back",Octa-core 2.0 GHz Cortex-A53,,,microSDXC,WirelessReverse wired,Mediatek MT6762 Helio P22 (12 nm),Sky Blue,166 x 76 x 8.7 mm (6.54 x 2.99 x 0.34 in),,,,"LED flash, HDR, panorama",,PowerVR GE8320,,,64GB 4GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-11-prime.jpg,ZTE Blade 11 Prime,,,No,Android 11,,,GPS,About 160 EUR,,,No,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer, gyro, proximity",8 MP,"6.52 inches, 102.6 cm2(~81.4% screen-to-body ratio)","HSPA 21.1/5.76 Mbps, LTE Cat6 300/50 Mbps",,"Available. Released 2021, April 27",,GSM / HSPA / LTE,"16 MP, (wide), AF8 MP, f/2.2, 120˚, 16mm (ultrawide)2 MP, f/2.4, (depth)",Li-Ion 4000 mAh,USB Type-C 2.0,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",190 g (6.70 oz),,,,,,,,,,,,,
24-bit/192kHz Hi-Res audio,,,,,,,,GSM 850 / 900 / 1800 / 1900,No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41",,,"1, 3, 28, 41, 78, 79 SA/NSA","2021, April 15",,,Endurance rating 91h,"5.2, A2DP, LE",ZTE,,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),,Photo/Video,No,"65W wired, PD3.0, QC4",Qualcomm SM8350 Snapdragon 888 5G (5 nm),"Black, White, Blue, Light Brown, Aerospace Edition",161.5 x 73 x 8 mm (6.36 x 2.87 x 0.31 in),698 nits max brightness (measured),,,HDR,,Adreno 660,,,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 1TB 16GB RAM, 1TB 18GB RAM",,,-24.6 LUFS (Very good),,https://fdn2.gsmarena.com/vv/bigpic/zte-axon-30-ultra.jpg,ZTE Axon 30 Ultra 5G,"A2022P, A2022PG",,Yes,"Android 11, MyOS 11",AnTuTu: 703270 (v8)GeekBench: 3582 (v5.1)GFXBench: 54fps (ES 3.1 onscreen),,"GPS, GLONASS, GALILEO, BDS",About 550 EUR,Corning Gorilla Glass 5,"64 MP, f/1.6, 26mm (wide), 1/1.72"", 0.8µm, PDAF, OIS64 MP, f/1.9, 35mm (standard), 1/1.97"", 0.7µm, PDAF8 MP, f/3.4, 123mm (periscope telephoto), 1/4.0"", PDAF, OIS, 5x optical zoom64 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/1.97"", 0.7µm",No,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","16 MP, (wide)","6.67 inches, 107.4 cm2(~91.1% screen-to-body ratio)","HSPA, LTE (CA), 5G",,"Available. Released 2021, April 19",,GSM / CDMA / HSPA / LTE / 5G,,Li-Po 4600 mAh,"USB Type-C 3.1, OTG","4K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct",188 g (6.63 oz),,,,,,,,,,,,,
24-bit/192kHz Hi-Res audio,,,,,,,,GSM 850 / 900 / 1800 / 1900,No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 5, 7, 8, 4, 12, 17, 20, 34, 38, 39, 40, 41",,,"1, 3, 28, 41, 78 SA/NSA","2021, April 15",,,,"5.2, A2DP, LE",ZTE,,,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),,,No,"55W wired, QC4",Qualcomm SM8350 Snapdragon 888 5G (5 nm),"Black, Pink",163.6 x 75.3 x 7.9 mm (6.44 x 2.96 x 0.31 in),,,,HDR,,Adreno 660,,,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-axon-30-pro.jpg,ZTE Axon 30 Pro 5G,A2022,,Yes,"Android 11, MyOS 11",,,"GPS, GLONASS, GALILEO, BDS",About 400 EUR,Corning Gorilla Glass 5,"64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF64 MP, f/2.4, 13mm, 120˚ (ultrawide)5 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",No,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","16 MP, (wide)","6.67 inches, 107.4 cm2(~87.2% screen-to-body ratio)","HSPA, LTE (CA), 5G",,"Available. Released 2021, April 26",,GSM / CDMA / HSPA / LTE / 5G,,Li-Po 4200 mAh,"USB Type-C 3.1, OTG","4K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",186 g (6.56 oz),,,,,,,,,,,,,
CDMA 800,,,,,,,,GSM 850 / 900 / 1800 / 1900,No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 5, 7, 8, 4, 12, 17, 20, 34, 38, 39, 40, 41",,,"1, 3, 28, 41, 78 SA/NSA","2021, March 31",,,,"5.1, A2DP, LE",ZTE,,,Octa-core (1x2.8 GHz Kryo 475 Prime & 1x2.4 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),,,microSDXC (uses shared SIM slot),55W wired,Qualcomm SDM768 Snapdragon 768G 5G (7 nm),"Black, Pink/Blue",163.5 x 75.2 x 7.8 mm (6.44 x 2.96 x 0.31 in),,,,HDR,,Adreno 620,,,256GB 8GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-s30-pro.jpg,ZTE S30 Pro,A2122H,,No,"Android 11, MyOS 11",,,"GPS, BDS",About 390 EUR,,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF8 MP, f/2.4, 120˚, 16mm (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",No,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",44 MP,"6.67 inches, 107.4 cm2(~87.4% screen-to-body ratio)","HSPA, LTE (CA), 5G",,"Available. Released 2021, April 03",,GSM / CDMA / HSPA / LTE / 5G,,Li-Ion 4200 mAh,USB Type-C 2.0,"4K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",183 g (6.46 oz),,,,,,,,,,,,,
,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41",,,"1, 28, 41, 78 SA/NSA","2021, March 31",,,,"5.1, A2DP, LE",ZTE,,,Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver),,,No,30W wired,Qualcomm SM7125 Snapdragon 720G (8 nm),"Black, Pink/Blue",164.8 x 76.4 x 7.9 mm (6.49 x 3.01 x 0.31 in),,,,HDR,,Adreno 618,,,"128GB 8GB RAM, 256GB 8GB RAM",,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-s30.jpg,ZTE S30,9030N,,No,"Android 11, MyOS 11",,,"GPS, BDS",About 290 EUR,,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF8 MP, f/2.4, 120˚, 16mm (ultrawide)5 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",No,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",16 MP,"6.67 inches, 107.4 cm2(~85.3% screen-to-body ratio)","HSPA, LTE (CA), 5G",,"Available. Released 2021, April 03",,GSM / HSPA / LTE / 5G,,Li-Ion 4000 mAh,USB Type-C 2.0,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",184 g (6.49 oz),,,,,,,,,,,,,
,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41",,,"1, 28, 41, 78 SA/NSA","2021, March 31",,,,"5.1, A2DP, LE",ZTE,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,No,18W wired,Mediatek Dimensity 700 (7 nm),"Black, Blue",165.8 x 77 x 9.6 mm (6.53 x 3.03 x 0.38 in),,,,HDR,,Mali-G57 MC2,,,128GB 6GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-s30-se.jpg,ZTE S30 SE,8030N,,No,"Android 11, MyOS 11",,,"GPS, BDS",About 220 EUR,,"48 MP, f/1.8, 26mm (wide), PDAF5 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",No,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",8 MP,"6.67 inches, 107.4 cm2(~84.1% screen-to-body ratio)","HSPA, LTE (CA), 5G",,"Available. Released 2021, April 03",,GSM / HSPA / LTE / 5G,,Li-Po 6000 mAh,"USB Type-C 2.0, OTG",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",210 g (7.41 oz),,,,,,,,,,,,,
32-bit/384kHz Hi-Res audio,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66",,,"1, 3, 28, 38, 41, 78 SA/NSA","2021, March 04",,,,"5.1, A2DP, aptX, LE",ZTE,,"Glass front, glass back, aluminum frame",Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),,,No,"120W wired, PD3.0, QC5, 50% in 5 min (China)66W wired, PD3.0, QC5 (International)",Qualcomm SM8350 Snapdragon 888 5G (5 nm),"Eclipse Black, Moon Silver",169.9 x 77.2 x 9.7 mm (6.69 x 3.04 x 0.38 in),,,,HDR,,Adreno 660,,,"128GB 12GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 18GB RAM",,,"Yes, with stereo speakers",,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-6-pro.jpg,ZTE nubia Red Magic 6 Pro,NX669J-P,,Yes,"Android 11, Redmagic 4.0",,,"GPS (L1+L5), GLONASS, BDS, GALILEO",About 960 EUR,Corning Gorilla Glass,,No,"1080 x 2400 pixels, 20:9 ratio (~387 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm","6.8 inches, 111.6 cm2(~85.1% screen-to-body ratio)","HSPA, LTE, 5G",,"Available. Released 2021, March 11",,GSM / CDMA / HSPA / EVDO / LTE / 5G,"64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF8 MP, f/2.0, 120˚, 13mm (ultrawide), 1/4.0"", 1.12µm2 MP, (macro)",Li-Po 5050 mAh - International modelLi-Po 4500 mAh - China model,"USB Type-C 3.0, OTG, accessory connector",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",220 g (7.76 oz),,,,,,,,,,,,,
32-bit/384kHz Hi-Res audio,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66",,,"1, 3, 28, 38, 41, 78 SA/NSA","2021, March 04",,,Endurance rating 88h,"5.1, A2DP, aptX, LE",ZTE,,"Glass front, glass back, aluminum frame",Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),,Photo/Video,No,"66W wired, PD3.0, QC4, 100% in 38 min",Qualcomm SM8350 Snapdragon 888 5G (5 nm),"Eclipse Black, Aurora",169.9 x 77.2 x 9.7 mm (6.69 x 3.04 x 0.38 in),444 nits max brightness (measured),,,HDR,,Adreno 660,,,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM",,,-21.4 LUFS (Excellent),,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-6.jpg,ZTE nubia Red Magic 6,NX669J,,Yes,"Android 11, Redmagic 4.0",AnTuTu: 708853 (v8)GeekBench: 3586 (v5.1)GFXBench: 50fps (ES 3.1 onscreen),,"GPS (L1+L5), GLONASS, BDS, GALILEO",About 520 EUR,Corning Gorilla Glass,,No,"1080 x 2400 pixels, 20:9 ratio (~387 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm","6.8 inches, 111.6 cm2(~85.1% screen-to-body ratio)","HSPA, LTE, 5G",,"Available. Released 2021, March 11",,GSM / CDMA / HSPA / EVDO / LTE / 5G,"64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF8 MP, f/2.0, 120˚, 13mm (ultrawide), 1/4.0"",  1.12µm2 MP, (macro)",Li-Po 5050 mAh,"USB Type-C 3.0, OTG, accessory connector",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",220 g (7.76 oz),,,,,,,,,,,,,
No,,,,,,,,,No,,,,,,"2021, March 31",,,,Yes,ZTE,,"Glass front, aluminum frame, plastic back",,,,No,,,Silver,47.8 x 46.4 x 12.4 mm (1.88 x 1.83 x 0.49 in),,,No,,No,,,,,,,No,,https://fdn2.gsmarena.com/vv/bigpic/zte-watch-gt.jpg,ZTE Watch GT,,,No,Proprietary OS,,,GPS,About 80 EUR,,,No,454 x 454 pixels (~326 ppi density),,,No,"Accelerometer, heart rate, SpO2",,1.39 inches,No,,"Available. Released 2021, March 31",,No cellular connectivity,,Li-Ion 420 mAh,No,,No,30 g (1.06 oz),,,,,,,,,,,,,
No,,,,,,,,,No,,,,,,"2021, March 04",,,,Yes,ZTE,,"Glass front, aluminum frame, plastic back",,,,No,,,"Black, Silver",47.8 x 46.4 x 12.4 mm (1.88 x 1.83 x 0.49 in),,,No,,No,,,,,,,No,,https://fdn2.gsmarena.com/vv/bigpic/zte-red-magic-watch.jpg,ZTE Red Magic Watch,,,No,Proprietary OS,,,"GPS, QZSS",About 100 EUR,,,No,454 x 454 pixels (~326 ppi density),,,No,"Accelerometer, heart rate, SpO2",,1.39 inches,No,,"Available. Released 2021, March 11",,No cellular connectivity,,Li-Ion 420 mAh,No,,No,30 g (1.06 oz),,,,,,,,,,,,,
,,,,,,,,GSM 850 / 1900,Yes,HSDPA 850 / 1700(AWS) / 1900,"2, 4, 5, 12, 25, 41, 66, 71",,,,"2021, February 22",,,,"4.2, A2DP",ZTE,,,Quad-core 1.3 GHz Cortex-A53,,,microSDHC (dedicated slot),,Qualcomm QM215 Snapdragon 215 (28 nm),"Red, Black",108.7 x 56.1 x 19.8 mm (4.28 x 2.21 x 0.78 in),,,,,,Adreno 308,,,8GB 1GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-linkii.jpg,ZTE Link II,,,No,Proprietary,,,GPS,About 40 EUR,,,No,128 x 160 pixels (~73 ppi density),,,Nano-SIM,Accelerometer,2 MP,"2.8 inches, 24.7 cm2(~40.5% screen-to-body ratio)","HSPA, LTE",,"Available. Released 2021, February 22",,GSM / HSPA / LTE,,"Li-Ion 1600 mAh, removable",microUSB 2.0,720p@30fps,"Wi-Fi 802.11 b/g/n, hotspot",128 g (4.52 oz),,,,,,,,,,,,,
,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2, 4, 5, 12, 13, 66",,,"2, 5, 66 Sub6","2021, January 26",,,,"5.0, A2DP, LE",ZTE,,"Glass front, plastic back, plastic frame",Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),,,microSDXC,18W wired,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Dark Blue,164 x 76 x 9.2 mm (6.46 x 2.99 x 0.36 in),,,,HDR,,Adreno 620,,,128GB 6GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-x1-5g.jpg,ZTE Blade X1 5G,,,Yes,Android 10,,,GPS,About 320 EUR,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, 120˚ (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",No,"1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)",,,Nano-SIM,"Fingerprint (rear-mounted), accelerometer, gyro, proximity","16 MP, f/2.0, (wide)","6.5 inches, 103.7 cm2(~83.2% screen-to-body ratio)","HSPA, LTE, 5G",,"Available. Released 2021, January 26",,GSM / HSPA / LTE / 5G,,Li-Ion 4000 mAh,USB Type-C 2.0,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",190 g (6.70 oz),,,,,,,,,,,,,
24-bit/192kHz Hi-Res audio,,,,,,,,GSM 850 / 900 / 1800 / 1900,No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 4, 5, 7, 8, 12, 17, 20, 34, 38, 39, 40, 41",,,"1, 3, 41, 78, 79 SA/NSA","2020, November 30",,,,"5.1, A2DP, LE",ZTE,,,Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),,,microSDXC (uses shared SIM slot),"18W wired, QC4",Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Blue,159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in),,,,HDR,,Adreno 620,,,128GB 8GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-20-pro-5g-new.jpg,ZTE Blade 20 Pro 5G,,,Yes,"Android 10, MiFavor 10",,,"GPS, GLONASS, GALILEO, BDS",About 350 EUR,,"64 MP, f/1.9, 25mm (wide), 1/1.72"", 0.8µm, PDAF8 MP, f/2.2, 120˚, 16mm (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",No,"1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm","6.47 inches, 102.8 cm2(~87.9% screen-to-body ratio)","HSPA, LTE, 5G",,"Available. Released 2021, January 04",,GSM / CDMA / HSPA / LTE / 5G,,Li-Ion 4000 mAh,USB Type-C 3.1,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",168 g (5.93 oz),,,,,,,,,,,,,
