,Charging,Display,Protection,Models,Loudspeaker,Talk time,SAR EU,Size,3G bands,4G bands,Loudspeaker_1,Features,Talk time_1,Status,Radio,Camera,Chipset,Brand,Type,Bluetooth,Type_1,Java,_3,Model Name,Price,Announced,Sensors,_4,NFC,USB,Dual_1,WLAN,GPU,EDGE,Internal,SAR,5G bands,Dimensions,Video,Single,_1,Card slot,Games,Battery (old),_5,Music play,Speed,Colors,Performance,Keyboard,Technology,Alert types,Infrared port,Features_1,Audio quality,256GB 8GB RAM,256GB 12GB RAM,Model Image,Positioning,Browser,Stand-by_1,Stand-by,2G bands,Dual,OS,SIM,_6,Phonebook,Weight,Single_1,Resolution,CPU,GPRS,_2,Messaging,Call records,Quad,Video_1,Triple,Build,3.5mm jack
eMMC 4.5,,,,,"Yes, with stereo speakers",,,"5.0 inches, 68.9 cm2(~65.8% screen-to-body ratio)",HSDPA,LTE,,LED flash,,Discontinued,FM radio,,Qualcomm MSM8909 Snapdragon 210 (28 nm),HTC,IPS LCD,"4.0, A2DP","Li-Ion 2000 mAh, non-removable",,,HTC Desire 625,About 70 EUR,"2016, August. Released 2016, August",Accelerometer,,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",Adreno 304,Yes,8GB 1.5GB RAM,,,147.3 x 71.1 x 8.4 mm (5.80 x 2.80 x 0.33 in),720p@30fps,"5 MP, AF",,microSDXC (dedicated slot),,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Gray,,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-625.jpg,GPS,,,,GSM 900 / 1800 / 1900,,"Android 5.1 (Lollipop), Sense UI",Nano-SIM,,,140.1 g (4.94 oz),1.3 MP,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.1 GHz Cortex-A7,Yes,,,,,,,,Yes
eMMC 5.0,18W wired,,Corning Gorilla Glass (unspecified version),"One X9 dual sim, 2PS5200","Yes, with stereo speakers",Up to 15 h (3G),,"5.5 inches, 83.4 cm2(~71.4% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 28, 38, 39, 40, 41",,"Dual-LED dual-tone flash, panorama, HDR",,Discontinued,FM radio,,Mediatek MT6795 Helio X10 (28 nm),HTC,Super LCD,"4.2, A2DP, aptX","Li-Ion 3000 mAh, non-removable",,,HTC One X9,About 300 EUR,"2015, December. Released 2016, January","Accelerometer, gyro, proximity, compass",,Yes (market dependent),microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA",PowerVR G6200,,32GB 3GB RAM,,,153.9 x 75.9 x 8 mm (6.06 x 2.99 x 0.31 in),"4K@30fps, 1080p@30fps","13 MP, f/2.0, 28mm (wide), AF, OIS",,microSDXC (dedicated slot),,,,Up to 40 h,"HSPA, LTE Cat4 150/50 Mbps","Black, Silver, Gold, Pink",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-x9.jpg,"GPS, GLONASS, BDS",,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Android 6.0 (Marshmallow),Nano-SIM + Nano-SIM,,,170 g (6.00 oz),"5 MP, f/2.8, 34mm (standard)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Octa-core 2.2 GHz Cortex-A53,,,,,,1080p@30fps,,,Yes
eMMC 5.0,,,Corning Gorilla Glass 4,,"Yes, with stereo speakers",,,"5.0 inches, 68.9 cm2(~68.4% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EMEA",,"Dual-LED dual-tone flash, HDR, panorama",,Discontinued,FM radio,,Mediatek MT6795 Helio X10 (28 nm),HTC,Super LCD3,"4.1, A2DP, aptX","Li-Po 2840 mAh, non-removable",,,HTC One M9s,About 270 EUR,"2015, November. Released 2015, November","Accelerometer, gyro, proximity, compass",,Yes,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",PowerVR G6200,,16GB 2GB RAM,,,144.6 x 69.7 x 9.6 mm (5.69 x 2.74 x 0.38 in),1080p@30fps,"13 MP, f/2.0, 28mm (wide), AF, OIS",24-bit/192kHz audio,microSDXC (dedicated slot),,,,,"HSPA, LTE",Dazzling Gold,,,GSM / HSPA / LTE,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-m9s-.jpg,"GPS, GLONASS, BDS",,,,GSM 850 / 900 / 1800 / 1900,,"Android 5.1 (Lollipop), Sense UI 7",Nano-SIM,,,158 g (5.57 oz),"4 MP, f/2.0, 27mm (wide), 1/3"", 2µm","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Octa-core 2.2 GHz Cortex-A53,,,,,,1080p@30fps,,,Yes
CDMA 800 & TD-SCDMA,,,,,"Yes, with stereo speakers",,,"5.5 inches, 83.4 cm2(~67.0% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 38, 39, 40, 41",,"LED flash, HDR, panorama",,Discontinued,FM radio,,Mediatek MT6753 (28 nm),HTC,IPS LCD,"4.1, A2DP, LE","Li-Ion 2800 mAh, non-removable",,,HTC Desire 828 dual sim,About 130 EUR,"2015, November. Released 2015, November","Accelerometer, proximity, compass",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Mali-T720MP3,,"16GB 2GB RAM, 32GB 3GB RAM",,,157.7 x 78.9 x 7.9 mm (6.21 x 3.11 x 0.31 in),1080p@30fps,"13 MP, f/2.2, AF, OIS",,microSDXC (dedicated slot),,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",White,,,GSM / CDMA / HSPA / LTE,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-828w.jpg,"GPS, GLONASS/ BDS (market dependant)",,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android 5.1 (Lollipop), Sense UI 6",Nano-SIM + Nano-SIM,,,148 g (5.22 oz),"4 MP, f/2.0, 27mm (wide), 1/3"", 2µm","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Octa-core 1.5 GHz Cortex-A53,,,,,,1080p@30fps,,,Yes
CDMA 800 / 1900 - Desire 728G,,,,"Desire 728 dual sim, Desire 728G dual sim, D728x","Yes, with stereo speakers",Up to 26 h (2G) / Up to 21 h (3G),0.81 W/kg (head),"5.5 inches, 83.4 cm2(~67.9% screen-to-body ratio)","HSDPA 850 / 900 / 1900 / 2100 - Desire 728, Desire 728G","1, 3, 5, 7, 8, 28, 38, 39, 40, 41 - Desire 728",,"LED flash, HDR, panorama",,Discontinued,FM radio,,Mediatek MT6753 (28 nm),HTC,Super LCD2,"4.1, A2DP","Li-Po 2800 mAh, non-removable",,,HTC Desire 728 dual sim,About 240 EUR,"2015, September. Released 2015, November","Accelerometer, proximity, compass",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Mali-T720MP3,,"16GB 1.5GB RAM (728G), 16GB 2GB RAM (728)",,,157.9 x 77.8 x 7.9 mm (6.22 x 3.06 x 0.31 in),1080p@30fps,"13 MP, f/2.2, 28mm (wide), AF",CDMA2000 1xEV-DO - Desire 728G,microSDXC (dedicated slot),,,,Up to 46 h,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","White, Black",,,GSM / CDMA / HSPA / EVDO / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-728.jpg,"GPS, GLONASS",,,Up to 496 h (2G) / Up to 485 h (3G),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android 5.1.1 (Lollipop), Sense UI",Nano-SIM + Nano-SIM,,,153 g (5.40 oz),"5 MP, f/2.8, 34mm (standard)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Octa-core 1.3 GHz Cortex-A53,,,,,,1080p@30fps,,,Yes
,,,,,Yes,,,"5.5 inches, 83.4 cm2(~66.3% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 38, 39, 40, 41",,"LED flash, panorama, HDR",,Discontinued,FM radio,,Mediatek MT6752M,HTC,IPS LCD,"4.1, A2DP","Li-Ion 2600 mAh, removable",,,HTC One E9s dual sim,About 310 EUR,"2015, October. Released 2015, October",Yes,,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",Mali-T760MP2,,16GB 2GB RAM,,,157.7 x 79.7 x 7.6 mm (6.21 x 3.14 x 0.30 in),1080p@30fps,"13 MP, f/2.2, 28mm (wide), AF",,microSDXC (dedicated slot),,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Meteor Gray, White Luxury, Roast Chestnut",,,GSM / HSPA / LTE,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-e9s-dual-sim.jpg,GPS,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android 5 (Lollipop), Sense UI 7",Nano-SIM + Nano-SIM,,,165 g (5.82 oz),"4 MP, f/2.0, 27mm (wide), 1/3"", 2µm","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Octa-core 1.5 GHz Cortex-A53,,,,,,1080p@30fps,,,Yes
IP57 dust/water resistant (up to 1m. and 30 min),"18W wired, QC2",,,B830x,"Yes, with stereo speakers",Up to 26 h (2G) / Up to 21 h (3G),,"5.2 inches, 74.5 cm2(~67.6% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 28, 38, 40, 41",,"Dual-LED dual-tone flash, panorama, HDR",,Discontinued,No,,Qualcomm MSM8994 Snapdragon 810 (20 nm),HTC,IPS LCD,"4.1, A2DP, aptX","Li-Ion 2700 mAh, non-removable",,,HTC Butterfly 3,About 300 EUR,"2015, September. Released 2015, October","Accelerometer, gyro, proximity, compass",,Yes,microUSB 2.0 (MHL 3.0 TV-out),,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, hotspot",Adreno 430,,32GB 3GB RAM,,,151 x 73 x 10 mm (5.94 x 2.87 x 0.39 in),4K@30fps,"20.2 MP, f/2.2, 28mm (wide), AFSecondary depth sensor",eMMC 5.0,microSDXC (dedicated slot),,,,,"HSPA, LTE","Blue, Red, White",,,GSM / HSPA / LTE,,Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-butterfly-3.jpg,"GPS, GLONASS, BDS",,,Up to 363 h (2G) / Up to 416 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 5.0 (Lollipop), upgradable to 6.0 (Marshmallow), Sence 7",Nano-SIM,,,161 g (5.68 oz),"13 MP, f/2.0, 28mm (wide)","1440 x 2560 pixels, 16:9 ratio (~565 ppi density)",Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),,,,,,4K@30fps,,,Yes
TD-SCDMA,,,,,"Yes, with stereo speakers",Up to 23 h (2G) / Up to 13 h (3G),,"5.2 inches, 74.5 cm2(~68.6% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 28, 38, 39, 40, 41",,"Laser AF, Dual-LED dual-tone flash, HDR, panorama",,Discontinued,"Stereo FM radio, RDS",,Mediatek MT6795T Helio X10 (28 nm),HTC,Super LCD3,"4.1, A2DP, aptX","Li-Po 2840 mAh, non-removable",,,HTC One M9+ Supreme Camera,About 480 EUR,"2015, September. Released 2015, October","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,Yes (market/operator dependent),"microUSB 2.0 (MHL 2 TV-out), OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",PowerVR G6200,,32GB 3GB RAM,,,151 x 72 x 9.6 mm (5.94 x 2.83 x 0.38 in),"4K@30fps, 1080p@60fps, 720p@120fps, HDR, stereo sound rec.","21 MP, f/2.2, 27mm (wide), OIS",eMMC 5.0,microSDXC (dedicated slot),,,,,"HSPA 42.2/21.1 Mbps, LTE (2CA) Cat6 300/50 Mbps","Gunmetal Gray, Silver Gold, Amber Gold",,,GSM / HSPA / LTE,,Yes,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-m9-plus-new.jpg,"GPS, GLONASS, BDS",,,Up to 598 h (2G) / Up to 626 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 5.2 (Lollipop), Sense UI 7",Nano-SIM,,,168 g (5.93 oz),"4 MP, f/2.0, 27mm (wide), 1/3"", 2µm","1440 x 2560 pixels, 16:9 ratio (~565 ppi density)",Octa-core 2.2 GHz Cortex-A53,,,,,,1080p@30fps,,,Yes
HSDPA 850 / 900 / 1900 / 2100,"18W wired, QC3","Contrast ratio: Infinite (nominal), 4.274 (sunlight)",Corning Gorilla Glass 3,"One A9, 2PQ93, A9u, 2PQ910",Yes,Up to 16 h (3G),0.41 W/kg (head),"5.0 inches, 68.9 cm2(~66.8% screen-to-body ratio)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Americas,"2, 3, 4, 5, 7, 12, 13, 17, 29 - Americas",Voice 65dB / Noise 64dB / Ring 67dB,"Dual-LED dual-tone flash, panorama, HDR",,Discontinued,FM radio,Photo/Video,Qualcomm MSM8952 Snapdragon 617 (28 nm),HTC,AMOLED,"4.1, A2DP, aptX","Li-Ion 2150 mAh, non-removable",,24-bit/192kHz audio,HTC One A9,About 300 EUR,"2015, September. Released 2015, November","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,Yes (payments only),"microUSB 2.0, OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA",Adreno 405,,"16GB 2GB RAM, 32GB 3GB RAM",,,145.8 x 70.8 x 7.3 mm (5.74 x 2.79 x 0.29 in),1080p@30fps,"13 MP, f/2.0, AF, OIS","1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EMEA/ Asia",microSDXC (dedicated slot),,Endurance rating 46h,,Up to 60 h,"HSPA, LTE Cat7 (2CA) 300/100 Mbps","Carbon Gray, Opal Silver, Topaz Gold, Deep Garnet, Pink",Basemark OS II 2.0: 644Basemark X: 6617,,GSM / HSPA / LTE,,,HDR,Noise -94.8dB / Crosstalk -94.0dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-a9-new.jpg,"GPS, GLONASS",,,Up to 432 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat), Sense UI",Nano-SIM,,,143 g (5.04 oz),"4 MP, f/2.0, 27mm (wide), 1/3"", 2µm","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),,eMMC 5.1,,,,1080p@30fps,,,Yes
CDMA2000 1xEV-DO,,,,HTCD200LVW,Yes,,,"5.0 inches, 68.9 cm2(~66.2% screen-to-body ratio)",HSDPA,"4, 13",,LED flash,,Discontinued,FM radio,,Qualcomm MSM8909 Snapdragon 210 (28 nm),HTC,Super LCD,"4.1, A2DP","Li-Ion 2000 mAh, non-removable",,,HTC Desire 626 (USA),,"2015, July. Released 2015, August","Accelerometer, proximity, compass",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",Adreno 304,Yes,16GB 1.5GB RAM,,,146.9 x 70.9 x 8.2 mm (5.78 x 2.79 x 0.32 in),720p@30fps,"8 MP, AF",eMMC 4.5,microSDXC (dedicated slot),,,,,"HSPA, LTE, EV-DO Rev.A 3.1 Mbps","Black, White, Gray, Blue",,,GSM / HSPA / EVDO / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-626s.jpg,GPS,,,,GSM 850 / 900 / 1800 / 1900,,"Android 5.1 (Lollipop), Sense 7 UI",Nano-SIM,,,140 g (4.94 oz),5 MP,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.1 GHz Cortex-A7,Yes,,,,,720p,,,Yes
eMMC 4.5,,,,"Desire 626s, 0PM92",Yes,Up to 15 h (3G),,"5.0 inches, 68.9 cm2(~66.2% screen-to-body ratio)",HSDPA 850 / 1700(AWS) / 1900 / 2100 - T-Mobile,"2, 4, 5, 12 - T-Mobile",,LED flash,,Discontinued,FM radio,,Qualcomm MSM8909 Snapdragon 210 (28 nm),HTC,IPS LCD,"4.1, A2DP","Li-Ion 2000 mAh, non-removable",,,HTC Desire 626s,About 190 EUR,"2015, July. Released 2015, July",Yes,,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",Adreno 304,,"8GB 1GB RAM, 8GB 1.5GB RAM (T-Mobile)",,,146.8 x 70.9 x 8.1 mm (5.78 x 2.79 x 0.32 in),720p@30fps,"8 MP, AF",,microSDXC (dedicated slot),,,,,"HSPA, LTE Cat4 150/50 Mbps","Black, White",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-626s.jpg,GPS,,,Up to 540 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 5.1.1 (Lollipop), upgradable to 6.0.1 (Marshmallow), Sense UI 7",Nano-SIM,,,138.9 g (4.90 oz),2 MP,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.1 GHz Cortex-A7,,,,,,720p,,,Yes
eMMC 4.5,,,,HTCD100LVWPP,Yes,,,"4.7 inches, 60.9 cm2(~62.1% screen-to-body ratio)",HSDPA 850 / 1900 - USA,"2, 4, 13 - USA",,LED flash,,Discontinued,FM radio,,Qualcomm MSM8909 Snapdragon 210 (28 nm),HTC,IPS LCD,"4.1, A2DP","Li-Ion 2000 mAh, removable",,,HTC Desire 526,About 110 EUR,"2015, July. Released 2015, August","Accelerometer, proximity",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Adreno 304,,8GB 1.5GB RAM,,,140 x 70 x 9.9 mm (5.51 x 2.76 x 0.39 in),720p@30fps,"8 MP, f/2.2, AF",,microSDXC (dedicated slot),,,,,"HSPA, LTE",Black,,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-526.jpg,GPS,,,,GSM 850 / 900 / 1800 / 1900,,"Android 5.1 (Lollipop), Sense 7 UI",Nano-SIM,,,156 g (5.50 oz),2 MP,"540 x 960 pixels, 16:9 ratio (~234 ppi density)",Quad-core 1.1 GHz Cortex-A7,,,,,,720p,,,Yes
eMMC 4.5,,,,0PGQ1,Yes,,,"4.5 inches, 55.8 cm2(~57.9% screen-to-body ratio)",HSDPA 850 / 1900,"2, 4, 5, 17",,LED flash,,Discontinued,FM radio,,Qualcomm MSM8909 Snapdragon 210 (28 nm),HTC,IPS LCD,"4.1, A2DP","Li-Ion 2000 mAh, removable",,,HTC Desire 520,,"2015, August. Released 2015, November","Accelerometer, proximity",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",Adreno 304,,8GB 1GB RAM,,,139.8 x 68.9 x 9.1 mm (5.50 x 2.71 x 0.36 in),720p@30fps,"8 MP, AF",,microSDXC (dedicated slot),,,,,"HSPA, LTE",Slate Gray,,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-520.jpg,"GPS, GLONASS",,,,GSM 850 / 900 / 1800 / 1900,,"Android 5.1 (Lollipop), Sense 7 UI",Nano-SIM,,,-,2 MP,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Quad-core 1.1 GHz Cortex-A7,,,,,,720p,,,Yes
eMMC 5.0,,,,"One ME dual sim, M9ew","Yes, with stereo speakers",Up to 23 h (2G) / Up to 13 h (3G),,"5.2 inches, 74.5 cm2(~68.6% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 28, 38, 39, 40, 41",,"Dual-LED dual-tone flash, HDR, panorama",,Discontinued,FM radio,,Mediatek MT6795 Helio X10 (28 nm),HTC,IPS LCD,"4.1, A2DP, aptX","Li-Po 2840 mAh, non-removable",,,HTC One ME,About 340 EUR,"2015, June. Released 2015, July","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,Yes,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",PowerVR G6200,,32GB 3GB RAM,,,151 x 72 x 9.8 mm (5.94 x 2.83 x 0.39 in),4K@30fps,"20 MP, f/2.2, 28mm (wide), AF",,microSDXC (dedicated slot),,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Meteor Grey, Rose Gold, Gold Sepia",,,GSM / HSPA / LTE,,Yes,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-me.jpg,"GPS, GLONASS, BDS",,,Up to 598 h (2G) / Up to 626 h (3G),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android 5.2 (Lollipop), upgradable to 6 (Marshmallow), Sense UI 7",Nano-SIM + Nano-SIM,,,155 g (5.47 oz),"4 MP, f/2.0, 27mm (wide), 1/3"", 2µm","1440 x 2560 pixels, 16:9 ratio (~565 ppi density)",Octa-core 2.2 GHz Cortex-A53,,,,,,1080p@30fps,,,Yes
,,,,"Desire 820G PLUS dua, Desire_820G_PLUS_dua","Yes, with stereo speakers",Up to 32 h (2G) / Up to 12 h (3G),,"5.5 inches, 83.4 cm2(~67.2% screen-to-body ratio)",HSDPA 850 / 900 / 2100,,,"LED flash, HDR, panorama",,Discontinued,FM radio,,Mediatek MT6592 (28 nm),HTC,IPS LCD,"4.0, A2DP","Li-Po 2600 mAh, non-removable",,,HTC Desire 820G+ dual sim,About 180 EUR,"2015, May. Released 2015, June","Accelerometer, proximity, compass",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",Mali-450MP4,,16GB 1GB RAM,,,157.7 x 78.7 x 7.7 mm (6.21 x 3.10 x 0.30 in),1080p@30fps,"13 MP, f/2.2, 28mm (wide), AF",,microSDHC (dedicated slot),,,,,HSPA,"Marble White, Dovetail gray",,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-820g-plus.jpg,GPS,,,Up to 600 h (2G) / Up to 560 h (3G),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android 4.4.2 (KitKat), Sense UI 6",Nano-SIM + Nano-SIM,,,154.5 g (5.47 oz),"8 MP, f/2.3","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Octa-core 1.7 GHz Cortex-A7,,,,,,1080p@30fps,,,Yes
,,,,,Yes,Up to 20 h (2G) / Up to 11 h (3G),,"4.5 inches, 55.8 cm2(~57.4% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,,,LED flash,,Discontinued,FM radio,,Spreadtrum SC7731G,HTC,TFT,"4.0, A2DP","Li-Ion 2000 mAh, removable",,,HTC Desire 326G dual sim,About 130 EUR,"2015, April. Released 2015, June","Accelerometer, proximity",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",,,8GB 1GB RAM,,,139.7 x 69.6 x 9.7 mm (5.5 x 2.74 x 0.38 in),1080p@30fps,"8 MP, AF",,microSDHC (dedicated slot),,,,,HSPA 21.1/5.76 Mbps,"White Birch, Black Onyx",,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-326g.jpg,GPS,,,Up to 524 h (2G) / Up to 386 h (3G),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Android 4.4.2 (KitKat),"Dual SIM (Micro-SIM, dual stand-by)",,,146 g (5.15 oz),2 MP,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Quad-core 1.2 GHz,,,,,,720p,,,Yes
eMMC 5.0,,,To be confirmed,One M9PLUS,"Yes, with stereo speakers",Up to 23 h (2G) / Up to 13 h (3G),,"5.2 inches, 74.5 cm2(~68.6% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 28, 38, 39, 40, 41",,"Dual-LED dual-tone flash, HDR, panorama",,Discontinued,"Stereo FM radio, RDS",,Mediatek MT6795T Helio X10 (28 nm),HTC,Super LCD3,"4.1, A2DP, aptX","Li-Po 2840 mAh, non-removable",,,HTC One M9+,About 300 EUR,"2015, April. Released 2015, May","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,Yes (market/operator dependent),"microUSB 2.0 (MHL 2 TV-out), OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",PowerVR G6200,,32GB 3GB RAM,,,151 x 72 x 9.6 mm (5.94 x 2.83 x 0.38 in),"4K@30fps, 1080p@60fps, 720p@120fps, HDR, stereo sound rec.","4 MP, f/2.0, 27mm (wide), 1/3"", 2µm",,microSDXC (dedicated slot),,,,,"HSPA 42.2/21.1 Mbps, LTE (2CA) Cat6 300/50 Mbps","Gunmetal Gray, Silver Gold, Amber Gold",,,GSM / HSPA / LTE,,Yes,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-m9-plus-new.jpg,"GPS, GLONASS, BDS",,,Up to 598 h (2G) / Up to 626 h (3G),GSM 850 / 900 / 1800 / 1900,"20 MP, f/2.2, 28mm (wide), 1/2.4"", 1.2µm2.1 MP, AF","Android 5.2 (Lollipop), upgradable to 6 (Marshmallow), Sense UI 7",Nano-SIM,,,168 g (5.93 oz),,"1440 x 2560 pixels, 16:9 ratio (~565 ppi density)",Octa-core 2.2 GHz Cortex-A53,,,,,,1080p@30fps,,,Yes
HSDPA 850 / 900 / 2100 - Germany,,,To be confirmed,One M8s,"Yes, with stereo speakers",Up to 20 h (3G),,"5.0 inches, 68.9 cm2(~66.7% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100 - EMEA,"3, 5, 7, 8, 20 - EMEA",,"Dual-LED dual-tone flash, HDR, panorama",,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM8939 Snapdragon 615 (28 nm),HTC,Super LCD3,"4.1, A2DP, aptX","Li-Po 2840 mAh, non-removable",,,HTC One M8s,About 330 EUR,"2015, April. Released 2015, May","Accelerometer, gyro, proximity, compass, barometer",,Yes (market/operator dependent),"microUSB 2.0 (MHL TV-out), OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",Adreno 405,,"16GB 2GB RAM, 32GB 2GB RAM",,,146.4 x 70.6 x 9.6 mm (5.76 x 2.78 x 0.38 in),"1080p@60fps, 720p@120fps, HDR, stereo sound rec.","5 MP, f/2.8, 34mm (standard)",eMMC 4.5,microSDXC (dedicated slot),,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Gunmetal Gray, Glacial Silver, Amber Gold",,,GSM / HSPA / LTE,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-m8s.jpg,"GPS, GLONASS",,,Up to 753 h (3G),GSM 850 / 900 / 1800 / 1900,"13 MP, f/2.0, 28mm (wide), AF2 MP, (depth)","Android 5 (Lollipop), Sense UI 7",Nano-SIM,,,160 g (5.64 oz),,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,,,,1080p@30fps,,,Yes
